;T_4_exp15;HM10_VF_exp15;HM1_VF_exp15;COP_exp15;T_amb_exp15;P_Inv_loading_exp15;HM10_RET_exp15;P_Inv_out_exp15;WP_senke_ein_exp15;T_3_exp15;Inv_Cur_Out;Inv_Cur_In;Zone_exp15;U_PV_exp15;SCC_vol_out_exp15;Pel_exp15;HM4_RET_exp15;U_grid_exp15;PV_Pel_exp15;WP_Quelle_ein_exp15;P_PV_exp15;HM10_SUP_exp15;T_1_exp15;U_bat_exp15;HM4_SUP_exp15;PV_Cur_exp15;T_2_exp15;WP_Quelle_aus_exp15;Pyra2_exp15;Cold_Tank_exp15;HM4_VF_exp15;Hot_Tank_exp15;HM1_SUP_exp15;HM1_RET_exp15;Inv_Volt_In_exp15;wetterstation_exp15;HP_Pel_exp15;WP_senke_aus_exp15;Pyra1_exp15;SCC_Cur_in_exp15
Displayname;Kalt_oben------;GEN.H--MTR.H-W.H-RET-MEA.VF-;GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-;GEN.HC-HP--R410a--CALC.COP.virt-;ODC---AIR.OD--CALC.T-;STO.EL-INV---IN-MEA.POW.EL-;GEN.H--MTR.H-W.H-SUP-CALC.T-;STO.EL-INV---OUT-MEA.POW.EL-;GEN.H-HP--W.H-RET-MEA.T-;Warm_oben------;STO.EL-INV---OUT-MEA.CUR-;STO.EL-INV---IN-MEA.CUR-;ZONE---AIR.ID--MEA.T-;GEN.EL-PV----MEA.VOLT-;STO.EL-SCC----MEA.VOLT-;GEN.HC-HP.COMP--R410a--CALC.POW.EL-;DIST.HC--MTR.HC-W.HC-RET-MEA.T-;STO.EL-INV---OUT-MEA.VOLT-;GEN.EL-PV----CALC.POW.EL-;GEN.C-HP--BRINE-SUP-CALC.T-;STO.EL-SCC----CALC.POW.EL-;GEN.H--MTR.H-W.H-RET-MEA.T-;Kalt_unten------;STO.EL-INV----MEA.VOLT-;DIST.HC--MTR.HC-W.HC-SUP-MEA.T-;GEN.EL-PV----MEA.CUR-;Warm_unten------;GEN.C-HP--BRINE-RET-CALC.T-;ODC----HOR-MEA.GLIR-CALC;STO.C---W.C-BOT-MEA.T-;DIST.HC--MTR.HC-W.HC-RET-MEA.VF-;STO.H---W.H-BOT-MEA.T-;GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-;GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-;STO.EL-INV---IN-MEA.VOLT-;WS.DWD-----MEA.T-;GEN.HC-HP--R410a--CALC.POW.H-;GEN.H-HP--W.H-SUP-MEA.T-;ODC----VER-MEA.GLIR-CALC;STO.EL-SCC---IN-MEA.CUR-
2023/07/03 00:00:00;17.30;0.00;0.00;0.00;23.04;0.00;-99.00;0.13;-99.00;36.36;0.54;0.00;29.47;42.11;56.59;0.00;-99.00;237.93;0.00;-99.00;0.00;-99.00;16.38;56.56;-99.00;0.00;32.52;-99.00;0.00;15.66;-0.40;31.80;-99.00;-99.00;4.00;16.90;0.00;-99.00;0.00;0.00
2023/07/03 00:15:00;17.30;0.00;0.00;0.00;22.60;0.00;-99.00;0.12;-99.00;36.31;0.53;0.00;29.14;18.87;56.56;0.00;-99.00;237.93;0.00;-99.00;0.00;-99.00;16.39;56.55;-99.00;0.00;32.50;-99.00;0.00;15.70;-0.67;31.80;-99.00;-99.00;4.00;16.60;0.00;-99.00;0.00;0.00
2023/07/03 00:30:00;17.36;0.00;0.00;0.00;22.20;0.00;-99.00;0.13;-99.00;36.30;0.53;0.00;28.84;9.12;56.56;0.00;-99.00;237.87;0.00;-99.00;0.00;-99.00;16.40;56.55;-99.00;0.00;32.50;-99.00;90.75;15.70;-0.50;31.79;-99.00;-99.00;4.00;16.75;0.00;-99.00;0.00;0.00
2023/07/03 00:45:00;17.40;0.00;0.00;0.00;21.91;0.00;-99.00;0.12;-99.00;36.29;0.53;0.00;28.53;6.75;56.55;0.00;-99.00;237.90;0.00;-99.00;0.00;-99.00;16.40;56.54;-99.00;0.00;32.47;-99.00;0.00;15.70;-0.67;31.70;-99.00;-99.00;4.00;17.20;0.00;-99.00;0.00;0.00
2023/07/03 01:00:00;17.43;0.00;0.00;0.00;21.68;0.00;-99.00;0.13;-99.00;36.21;0.51;0.00;28.24;6.49;56.53;0.00;-99.00;237.97;0.00;-99.00;0.00;-99.00;16.43;36.92;-99.00;0.00;32.40;-99.00;90.50;15.70;-0.77;31.70;-99.00;-99.00;4.00;17.25;0.00;-99.00;0.00;0.00
2023/07/03 01:15:00;17.49;0.00;0.00;0.00;21.44;0.00;-99.00;0.13;-99.00;36.20;0.54;0.00;28.00;6.47;56.53;0.00;-99.00;238.00;0.00;-99.00;0.00;-99.00;16.49;56.47;-99.00;0.00;32.40;-99.00;0.00;15.71;-0.97;31.70;-99.00;-99.00;4.00;17.40;0.00;-99.00;0.00;0.00
2023/07/03 01:30:00;17.50;0.00;0.00;0.00;21.06;0.00;-99.00;0.13;-99.00;36.16;0.55;0.00;27.75;6.47;56.53;0.00;-99.00;238.00;0.00;-99.00;0.00;-99.00;16.45;56.47;-99.00;0.00;32.40;-99.00;0.00;15.80;-0.80;31.70;-99.00;-99.00;4.00;17.10;0.00;-99.00;0.00;0.00
2023/07/03 01:45:00;17.50;0.00;0.00;0.00;20.58;0.00;-99.00;0.13;-99.00;36.11;0.53;0.00;27.52;6.40;56.53;0.00;-99.00;237.87;0.00;-99.00;0.00;-99.00;16.50;56.48;-99.00;0.00;32.39;-99.00;0.00;15.80;-0.87;31.60;-99.00;-99.00;4.00;16.80;0.00;-99.00;0.00;0.00
2023/07/03 02:00:00;17.59;0.00;0.00;0.00;19.89;0.00;-99.00;0.12;-99.00;36.10;0.54;0.00;27.28;6.40;56.50;0.00;-99.00;237.97;0.00;-99.00;0.00;-99.00;16.49;56.47;-99.00;0.00;32.35;-99.00;0.00;15.80;-1.00;31.60;-99.00;-99.00;4.00;16.90;0.00;-99.00;0.00;0.00
