;T_4_exp15;HM10_VF_exp15;HM1_VF_exp15;COP_exp15;T_amb_exp15;P_Inv_loading_exp15;HM10_RET_exp15;P_Inv_out_exp15;WP_senke_ein_exp15;T_3_exp15;Inv_Cur_Out;Inv_Cur_In;Zone_exp15;U_PV_exp15;SCC_vol_out_exp15;Pel_exp15;HM4_RET_exp15;U_grid_exp15;PV_Pel_exp15;WP_Quelle_ein_exp15;P_PV_exp15;HM10_SUP_exp15;T_1_exp15;U_bat_exp15;HM4_SUP_exp15;PV_Cur_exp15;T_2_exp15;WP_Quelle_aus_exp15;Pyra2_exp15;Cold_Tank_exp15;HM4_VF_exp15;Hot_Tank_exp15;HM1_SUP_exp15;HM1_RET_exp15;Inv_Volt_In_exp15;wetterstation_exp15;HP_Pel_exp15;WP_senke_aus_exp15;Pyra1_exp15;SCC_Cur_in_exp15
Displayname;Kalt_oben------;GEN.H--MTR.H-W.H-RET-MEA.VF-;GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-;GEN.HC-HP--R410a--CALC.COP.virt-;ODC---AIR.OD--CALC.T-;STO.EL-INV---IN-MEA.POW.EL-;GEN.H--MTR.H-W.H-SUP-CALC.T-;STO.EL-INV---OUT-MEA.POW.EL-;GEN.H-HP--W.H-RET-MEA.T-;Warm_oben------;STO.EL-INV---OUT-MEA.CUR-;STO.EL-INV---IN-MEA.CUR-;ZONE---AIR.ID--MEA.T-;GEN.EL-PV----MEA.VOLT-;STO.EL-SCC----MEA.VOLT-;GEN.HC-HP.COMP--R410a--CALC.POW.EL-;DIST.HC--MTR.HC-W.HC-RET-MEA.T-;STO.EL-INV---OUT-MEA.VOLT-;GEN.EL-PV----CALC.POW.EL-;GEN.C-HP--BRINE-SUP-CALC.T-;STO.EL-SCC----CALC.POW.EL-;GEN.H--MTR.H-W.H-RET-MEA.T-;Kalt_unten------;STO.EL-INV----MEA.VOLT-;DIST.HC--MTR.HC-W.HC-SUP-MEA.T-;GEN.EL-PV----MEA.CUR-;Warm_unten------;GEN.C-HP--BRINE-RET-CALC.T-;ODC----HOR-MEA.GLIR-CALC;STO.C---W.C-BOT-MEA.T-;DIST.HC--MTR.HC-W.HC-RET-MEA.VF-;STO.H---W.H-BOT-MEA.T-;GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-;GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-;STO.EL-INV---IN-MEA.VOLT-;WS.DWD-----MEA.T-;GEN.HC-HP--R410a--CALC.POW.H-;GEN.H-HP--W.H-SUP-MEA.T-;ODC----VER-MEA.GLIR-CALC;STO.EL-SCC---IN-MEA.CUR-
2023/07/11 00:00:00;16.99;0.00;4.13;0.00;27.77;0.00;-99.00;0.12;-99.00;33.02;0.54;0.00;23.05;27.46;56.31;0.00;-99.00;238.33;0.00;-99.00;0.00;-99.00;12.99;56.30;-99.00;0.00;32.71;-99.00;0.00;12.34;-0.80;31.94;-99.00;-99.00;4.00;21.30;0.00;-99.00;0.00;0.00
2023/07/11 00:15:00;16.96;0.00;1.33;0.00;27.19;0.00;-99.00;0.13;-99.00;33.00;0.54;0.00;23.17;11.47;56.29;0.00;-99.00;238.33;0.00;-99.00;0.00;-99.00;12.99;56.24;-99.00;0.00;32.61;-99.00;0.00;12.40;-0.50;31.90;-99.00;-99.00;4.00;20.90;0.00;-99.00;0.00;0.00
2023/07/11 00:30:00;17.10;0.00;0.00;0.00;26.56;0.00;-99.00;0.14;-99.00;32.98;0.58;0.00;23.28;6.83;56.26;0.00;20.23;238.13;0.00;-99.00;0.00;-99.00;13.17;56.20;14.74;0.00;32.59;-99.00;0.00;12.52;57.87;31.80;-99.00;-99.00;4.00;20.70;0.00;-99.00;0.00;0.00
2023/07/11 00:45:00;17.81;0.00;0.00;0.00;25.93;0.00;-99.00;0.14;-99.00;32.97;0.61;0.00;23.26;6.01;56.24;0.00;18.71;238.03;0.00;-99.00;0.00;-99.00;13.54;56.23;13.29;0.00;32.57;-99.00;0.00;12.93;75.27;31.80;-99.00;-99.00;4.00;20.60;0.00;-99.00;0.00;0.00
2023/07/11 01:00:00;18.30;0.00;0.00;0.00;25.26;0.00;-99.00;0.14;-99.00;32.96;0.55;0.00;23.05;5.90;56.22;0.00;-99.00;238.10;0.00;-99.00;0.00;-99.00;13.86;56.19;-99.00;0.00;32.50;-99.00;0.00;13.25;-0.87;31.80;-99.00;-99.00;4.00;20.60;0.00;-99.00;0.00;0.00
2023/07/11 01:15:00;18.29;0.00;0.00;0.00;24.64;0.00;-99.00;0.13;-99.00;32.96;0.55;0.00;22.91;5.90;56.19;0.00;-99.00;238.03;0.00;-99.00;0.00;-99.00;13.87;56.14;-99.00;0.00;32.49;-99.00;0.00;13.30;-0.63;31.73;-99.00;-99.00;4.00;20.50;0.00;-99.00;0.00;0.00
2023/07/11 01:30:00;18.30;0.00;0.00;0.00;24.19;0.00;-99.00;0.13;-99.00;32.95;0.55;0.00;22.87;5.91;56.17;0.00;-99.00;238.03;0.00;-99.00;0.00;-99.00;13.90;56.13;-99.00;0.00;32.48;-99.00;0.00;13.30;-0.80;31.70;-99.00;-99.00;4.00;20.30;0.00;-99.00;0.00;0.00
2023/07/11 01:45:00;18.30;0.00;0.00;0.00;23.77;0.00;-99.00;0.13;-99.00;32.93;0.56;0.00;22.88;5.91;56.15;0.00;-99.00;238.00;0.00;-99.00;0.00;-99.00;13.93;56.14;-99.00;0.00;32.44;-99.00;0.00;13.30;-0.63;31.70;-99.00;-99.00;4.00;20.20;0.00;-99.00;0.00;0.00
2023/07/11 02:00:00;18.30;0.00;0.00;0.00;23.39;0.00;-99.00;0.13;-99.00;32.91;0.53;0.00;22.91;5.91;56.12;0.00;-99.00;238.10;0.00;-99.00;0.00;-99.00;13.99;56.09;-99.00;0.00;32.44;-99.00;0.00;13.30;-0.80;31.70;-99.00;-99.00;4.00;19.95;0.00;-99.00;0.00;0.00
2023/07/11 02:15:00;18.29;0.00;0.00;0.00;22.96;0.00;-99.00;0.13;-99.00;32.90;0.55;0.00;22.94;5.92;56.10;0.00;-99.00;238.00;0.00;-99.00;0.00;-99.00;14.00;56.03;-99.00;0.00;32.40;-99.00;0.00;13.39;-0.47;31.70;-99.00;-99.00;4.00;19.80;0.00;-99.00;0.00;0.00
