;T_4_exp15;HM10_VF_exp15;HM1_VF_exp15;COP_exp15;T_amb_exp15;P_Inv_loading_exp15;HM10_RET_exp15;P_Inv_out_exp15;WP_senke_ein_exp15;T_3_exp15;Inv_Cur_Out;Inv_Cur_In;Zone_exp15;U_PV_exp15;SCC_vol_out_exp15;Pel_exp15;HM4_RET_exp15;U_grid_exp15;PV_Pel_exp15;WP_Quelle_ein_exp15;P_PV_exp15;HM10_SUP_exp15;T_1_exp15;U_bat_exp15;HM4_SUP_exp15;PV_Cur_exp15;T_2_exp15;WP_Quelle_aus_exp15;Pyra2_exp15;Cold_Tank_exp15;HM4_VF_exp15;Hot_Tank_exp15;HM1_SUP_exp15;HM1_RET_exp15;Inv_Volt_In_exp15;wetterstation_exp15;HP_Pel_exp15;WP_senke_aus_exp15;Pyra1_exp15;SCC_Cur_in_exp15
Displayname;Kalt_oben------;GEN.H--MTR.H-W.H-RET-MEA.VF-;GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-;GEN.HC-HP--R410a--CALC.COP.virt-;ODC---AIR.OD--CALC.T-;STO.EL-INV---IN-MEA.POW.EL-;GEN.H--MTR.H-W.H-SUP-CALC.T-;STO.EL-INV---OUT-MEA.POW.EL-;GEN.H-HP--W.H-RET-MEA.T-;Warm_oben------;STO.EL-INV---OUT-MEA.CUR-;STO.EL-INV---IN-MEA.CUR-;ZONE---AIR.ID--MEA.T-;GEN.EL-PV----MEA.VOLT-;STO.EL-SCC----MEA.VOLT-;GEN.HC-HP.COMP--R410a--CALC.POW.EL-;DIST.HC--MTR.HC-W.HC-RET-MEA.T-;STO.EL-INV---OUT-MEA.VOLT-;GEN.EL-PV----CALC.POW.EL-;GEN.C-HP--BRINE-SUP-CALC.T-;STO.EL-SCC----CALC.POW.EL-;GEN.H--MTR.H-W.H-RET-MEA.T-;Kalt_unten------;STO.EL-INV----MEA.VOLT-;DIST.HC--MTR.HC-W.HC-SUP-MEA.T-;GEN.EL-PV----MEA.CUR-;Warm_unten------;GEN.C-HP--BRINE-RET-CALC.T-;ODC----HOR-MEA.GLIR-CALC;STO.C---W.C-BOT-MEA.T-;DIST.HC--MTR.HC-W.HC-RET-MEA.VF-;STO.H---W.H-BOT-MEA.T-;GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-;GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-;STO.EL-INV---IN-MEA.VOLT-;WS.DWD-----MEA.T-;GEN.HC-HP--R410a--CALC.POW.H-;GEN.H-HP--W.H-SUP-MEA.T-;ODC----VER-MEA.GLIR-CALC;STO.EL-SCC---IN-MEA.CUR-
2023/07/19 00:00:00;19.05;0.00;0.00;0.00;20.10;0.00;-99.00;0.12;-99.00;33.10;0.51;0.00;22.93;5.96;56.41;0.00;-99.00;238.30;0.00;-99.00;0.00;-99.00;15.20;56.38;-99.00;0.00;32.55;-99.00;0.00;14.59;-1.00;31.80;-99.00;-99.00;4.00;19.80;0.00;-99.00;0.00;0.00
2023/07/19 00:15:00;19.06;0.00;0.00;0.00;20.00;0.00;-99.00;0.12;-99.00;33.10;0.51;0.00;22.89;5.99;56.41;0.00;-99.00;238.03;0.00;-99.00;0.00;-99.00;15.24;56.33;-99.00;0.00;32.53;-99.00;0.00;14.60;-0.90;31.79;-99.00;-99.00;4.00;19.40;0.00;-99.00;0.00;0.00
2023/07/19 00:30:00;19.06;0.00;0.00;0.00;20.04;0.00;-99.00;0.12;-99.00;33.10;0.50;0.00;22.84;5.99;56.38;0.00;-99.00;238.03;0.00;-99.00;0.00;-99.00;15.29;56.31;-99.00;0.00;32.49;-99.00;0.00;14.60;-0.90;31.70;-99.00;-99.00;4.00;19.30;0.00;-99.00;0.00;0.00
2023/07/19 00:45:00;19.04;0.00;0.00;0.00;20.18;0.00;-99.00;0.12;-99.00;33.07;0.50;0.00;22.81;5.99;56.38;0.00;-99.00;238.11;0.00;-99.00;0.00;-99.00;15.30;56.30;-99.00;0.00;32.41;-99.00;0.00;14.61;-0.79;31.70;-99.00;-99.00;4.00;19.40;0.00;-99.00;0.00;0.00
2023/07/19 01:00:00;19.07;0.00;0.00;0.00;20.30;0.00;-99.00;0.14;-99.00;33.02;0.61;0.00;22.79;5.99;56.38;0.00;-99.00;237.96;0.00;-99.00;0.00;-99.00;15.38;56.30;-99.00;0.00;32.40;-99.00;0.00;14.70;-0.74;31.70;-99.00;-99.00;4.00;19.30;0.00;-99.00;0.00;0.00
2023/07/19 01:15:00;19.09;0.00;0.00;0.00;20.24;0.00;-99.00;0.14;-99.00;33.00;0.58;0.00;22.78;5.99;56.34;0.00;-99.00;238.10;0.00;-99.00;0.00;-99.00;15.37;56.31;-99.00;0.00;32.40;-99.00;0.00;14.70;-0.77;31.63;-99.00;-99.00;4.00;18.90;0.00;-99.00;0.00;0.00
2023/07/19 01:30:00;19.07;0.00;0.00;0.00;20.03;0.00;-99.00;0.13;-99.00;32.98;0.55;0.00;22.78;5.99;56.34;0.00;-99.00;238.03;0.00;-99.00;0.00;-99.00;15.41;56.30;-99.00;0.00;32.39;-99.00;0.00;14.70;-0.70;31.60;-99.00;-99.00;4.00;19.20;0.00;-99.00;0.00;0.00
2023/07/19 01:45:00;19.10;0.00;0.00;0.00;19.84;0.00;-99.00;0.13;-99.00;32.99;0.58;0.00;22.76;5.99;56.34;0.00;-99.00;238.10;0.00;-99.00;0.00;-99.00;15.43;56.31;-99.00;0.00;32.30;-99.00;0.00;14.75;-0.97;31.60;-99.00;-99.00;4.00;18.70;0.00;-99.00;0.00;0.00
2023/07/19 02:00:00;19.09;0.00;0.00;0.00;19.80;0.00;-99.00;0.13;-99.00;32.95;0.59;0.00;22.74;6.02;56.34;0.00;-99.00;238.23;0.00;-99.00;0.00;-99.00;15.46;56.31;-99.00;0.00;32.29;-99.00;82.25;14.80;-0.93;31.50;-99.00;-99.00;4.00;18.85;0.00;-99.00;0.00;0.00
2023/07/19 02:15:00;19.10;0.00;0.00;0.00;19.79;0.00;-99.00;0.14;-99.00;32.90;0.59;0.00;22.72;5.99;56.31;0.00;-99.00;238.30;0.00;-99.00;0.00;-99.00;15.50;56.30;-99.00;0.00;32.26;-99.00;0.00;14.80;-0.47;31.50;-99.00;-99.00;4.00;18.50;0.00;-99.00;0.00;0.00
2023/07/19 02:30:00;19.09;0.00;0.00;0.00;19.63;0.00;-99.00;0.13;-99.00;32.90;0.58;0.00;22.72;5.99;56.31;0.00;-99.00;238.30;0.00;-99.00;0.00;-99.00;15.52;56.30;-99.00;0.00;32.20;-99.00;0.00;14.80;-0.50;31.50;-99.00;-99.00;4.00;18.30;0.00;-99.00;0.00;0.00
2023/07/19 02:45:00;19.10;0.00;0.00;0.00;19.50;0.00;-99.00;0.14;-99.00;32.90;0.54;0.00;22.69;6.08;56.31;0.00;-99.00;238.13;0.00;-99.00;0.00;-99.00;15.51;56.30;-99.00;0.00;32.20;-99.00;0.00;14.86;-0.93;31.42;-99.00;-99.00;4.00;18.00;0.00;-99.00;0.00;0.00
2023/07/19 03:00:00;19.10;0.00;0.00;0.00;19.50;0.00;-99.00;0.13;-99.00;32.85;0.55;0.00;22.66;6.25;56.31;0.00;-99.00;238.23;0.00;-99.00;0.00;-99.00;15.60;56.27;-99.00;0.00;32.19;-99.00;0.00;14.90;-1.07;31.40;-99.00;-99.00;4.00;17.90;0.00;-99.00;0.00;0.00
2023/07/19 03:15:00;19.10;0.00;0.00;0.00;19.43;0.00;-99.00;0.13;-99.00;32.86;0.57;0.00;22.64;6.09;56.29;0.00;-99.00;238.27;0.00;-99.00;0.00;-99.00;15.60;56.22;-99.00;0.00;32.17;-99.00;0.00;14.90;-0.50;31.39;-99.00;-99.00;4.00;17.50;0.00;-99.00;0.00;0.00
2023/07/19 03:30:00;19.12;0.00;0.00;0.00;19.36;0.00;-99.00;0.14;-99.00;32.81;0.60;0.00;22.61;6.02;56.28;0.00;-99.00;238.20;0.00;-99.00;0.00;-99.00;15.62;56.21;-99.00;0.00;32.10;-99.00;0.00;14.90;-0.83;31.30;-99.00;-99.00;4.00;17.40;0.00;-99.00;0.00;0.00
2023/07/19 03:45:00;19.14;0.00;0.00;0.00;19.20;0.00;-99.00;0.13;-99.00;32.79;0.54;0.00;22.58;6.00;56.28;0.00;-99.00;238.10;0.00;-99.00;0.00;-99.00;15.61;56.20;-99.00;0.00;32.06;-99.00;0.00;14.93;-0.70;31.30;-99.00;-99.00;4.00;17.10;0.00;-99.00;0.00;0.00
2023/07/19 04:00:00;19.14;0.00;0.00;0.00;18.95;0.00;-99.00;0.13;-99.00;32.75;0.54;0.00;22.55;6.02;56.27;0.00;-99.00;238.23;0.00;-99.00;0.00;-99.00;15.68;56.21;-99.00;0.00;32.01;-99.00;0.00;15.00;-0.87;31.30;-99.00;-99.00;4.00;17.15;0.00;-99.00;0.00;0.00
2023/07/19 04:15:00;19.14;0.00;0.00;0.00;18.71;0.00;-99.00;0.14;-99.00;32.70;0.56;0.00;22.49;6.04;56.25;0.00;-99.00;238.17;0.00;-99.00;0.00;-99.00;15.71;56.20;-99.00;0.00;32.00;-99.00;0.00;15.00;-0.60;31.20;-99.00;-99.00;4.00;16.90;0.00;-99.00;0.00;0.00
