;T_4_exp15;HM10_VF_exp15;HM1_VF_exp15;COP_exp15;T_amb_exp15;P_Inv_loading_exp15;HM10_RET_exp15;P_Inv_out_exp15;WP_senke_ein_exp15;T_3_exp15;Inv_Cur_Out;Inv_Cur_In;Zone_exp15;U_PV_exp15;SCC_vol_out_exp15;Pel_exp15;HM4_RET_exp15;U_grid_exp15;PV_Pel_exp15;WP_Quelle_ein_exp15;P_PV_exp15;HM10_SUP_exp15;T_1_exp15;U_bat_exp15;HM4_SUP_exp15;PV_Cur_exp15;T_2_exp15;WP_Quelle_aus_exp15;Pyra2_exp15;Cold_Tank_exp15;HM4_VF_exp15;Hot_Tank_exp15;HM1_SUP_exp15;HM1_RET_exp15;Inv_Volt_In_exp15;wetterstation_exp15;HP_Pel_exp15;WP_senke_aus_exp15;Pyra1_exp15;SCC_Cur_in_exp15
Displayname;Kalt_oben------;GEN.H--MTR.H-W.H-RET-MEA.VF-;GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-;GEN.HC-HP--R410a--CALC.COP.virt-;ODC---AIR.OD--CALC.T-;STO.EL-INV---IN-MEA.POW.EL-;GEN.H--MTR.H-W.H-SUP-CALC.T-;STO.EL-INV---OUT-MEA.POW.EL-;GEN.H-HP--W.H-RET-MEA.T-;Warm_oben------;STO.EL-INV---OUT-MEA.CUR-;STO.EL-INV---IN-MEA.CUR-;ZONE---AIR.ID--MEA.T-;GEN.EL-PV----MEA.VOLT-;STO.EL-SCC----MEA.VOLT-;GEN.HC-HP.COMP--R410a--CALC.POW.EL-;DIST.HC--MTR.HC-W.HC-RET-MEA.T-;STO.EL-INV---OUT-MEA.VOLT-;GEN.EL-PV----CALC.POW.EL-;GEN.C-HP--BRINE-SUP-CALC.T-;STO.EL-SCC----CALC.POW.EL-;GEN.H--MTR.H-W.H-RET-MEA.T-;Kalt_unten------;STO.EL-INV----MEA.VOLT-;DIST.HC--MTR.HC-W.HC-SUP-MEA.T-;GEN.EL-PV----MEA.CUR-;Warm_unten------;GEN.C-HP--BRINE-RET-CALC.T-;ODC----HOR-MEA.GLIR-CALC;STO.C---W.C-BOT-MEA.T-;DIST.HC--MTR.HC-W.HC-RET-MEA.VF-;STO.H---W.H-BOT-MEA.T-;GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-;GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-;STO.EL-INV---IN-MEA.VOLT-;WS.DWD-----MEA.T-;GEN.HC-HP--R410a--CALC.POW.H-;GEN.H-HP--W.H-SUP-MEA.T-;ODC----VER-MEA.GLIR-CALC;STO.EL-SCC---IN-MEA.CUR-
2023/07/20 00:00:00;17.69;0.00;0.00;0.00;22.16;0.00;-99.00;0.12;-99.00;32.50;0.55;0.00;23.26;5.97;55.84;0.00;-99.00;238.10;0.00;-99.00;0.00;-99.00;13.35;55.82;-99.00;0.00;32.01;-99.00;0.00;12.70;-0.50;31.30;-99.00;-99.00;4.00;21.55;0.00;-99.00;0.00;0.00
2023/07/20 00:15:00;17.70;0.00;0.00;0.00;22.05;0.00;-99.00;0.14;-99.00;32.50;0.56;0.00;23.26;5.98;55.84;0.00;-99.00;237.87;0.00;-99.00;0.00;-99.00;13.37;55.79;-99.00;0.00;32.00;-99.00;0.00;12.74;-0.70;31.30;-99.00;-99.00;4.00;21.50;0.00;-99.00;0.00;0.00
2023/07/20 00:30:00;17.70;0.00;0.00;0.00;21.87;0.00;-99.00;0.13;-99.00;32.50;0.55;0.00;23.25;5.97;55.84;0.00;-99.00;237.97;0.00;-99.00;0.00;-99.00;13.40;55.78;-99.00;0.00;32.00;-99.00;0.00;12.80;-0.70;31.25;-99.00;-99.00;4.00;21.35;0.00;-99.00;0.00;0.00
2023/07/20 00:45:00;17.70;0.00;0.00;0.00;21.63;0.00;-99.00;0.13;-99.00;32.50;0.55;0.00;23.24;5.97;55.84;0.00;-99.00;237.96;0.00;-99.00;0.00;-99.00;13.43;55.79;-99.00;0.00;31.99;-99.00;0.00;12.80;-1.00;31.20;-99.00;-99.00;4.00;21.00;0.00;-99.00;0.00;0.00
2023/07/20 01:00:00;17.71;0.00;0.00;0.00;21.30;0.00;-99.00;0.13;-99.00;32.44;0.53;0.00;23.21;5.98;55.84;0.00;-99.00;237.96;0.00;-99.00;0.00;-99.00;13.47;55.80;-99.00;0.00;32.00;-99.00;0.00;12.84;-0.59;31.20;-99.00;-99.00;4.00;20.50;0.00;-99.00;0.00;0.00
2023/07/20 01:15:00;17.73;0.00;0.00;0.00;21.00;0.00;-99.00;0.13;-99.00;32.40;0.56;0.00;23.17;5.99;55.84;0.00;-99.00;238.10;0.00;-99.00;0.00;-99.00;13.47;55.79;-99.00;0.00;32.00;-99.00;0.00;12.90;-0.70;31.20;-99.00;-99.00;4.00;19.70;0.00;-99.00;0.00;0.00
2023/07/20 01:30:00;17.76;0.00;0.00;0.00;20.66;0.00;-99.00;0.13;-99.00;32.40;0.57;0.00;23.13;5.99;55.84;0.00;-99.00;238.07;0.00;-99.00;0.00;-99.00;13.59;55.79;-99.00;0.00;31.91;-99.00;0.00;12.90;-0.80;31.14;-99.00;-99.00;4.00;18.90;0.00;-99.00;0.00;0.00
2023/07/20 01:45:00;17.77;0.00;0.00;0.00;20.28;0.00;-99.00;0.12;-99.00;32.40;0.54;0.00;23.07;6.00;55.84;0.00;-99.00;238.03;0.00;-99.00;0.00;-99.00;13.59;55.79;-99.00;0.00;31.90;-99.00;0.00;12.92;-0.60;31.10;-99.00;-99.00;4.00;18.30;0.00;-99.00;0.00;0.00
2023/07/20 02:00:00;17.77;0.00;0.00;0.00;20.05;0.00;-99.00;0.13;-99.00;32.40;0.52;0.00;23.01;6.02;55.82;0.00;-99.00;237.97;0.00;-99.00;0.00;-99.00;13.60;55.78;-99.00;0.00;31.86;-99.00;0.00;13.00;-0.27;31.10;-99.00;-99.00;4.00;18.25;0.00;-99.00;0.00;0.00
