#2022.01.28 00:00:00 3456000  0:Ubat(Vdc) 1:Ibat_w(A) 2:Ibat(A) 3:Phase(-) 4:U_in(Vac) 5:I_in(A) 6:P_in(kVA) 7:U_out(Vac) 8:I_out(A) 9:P_out(kVA) 10:F_out(Hz) 11:Mode(-) 12:XT_state(-) 13:Ubat_v(Vdc) 14:Ibat_v(A) 15:U_pv(V) 16:I_pv(A) 17:P_pv(kW) 18:Ed(kWh) 19:MWhT(MWh) 20:Mode_v(-) 21:Sd(h) 22:Phas(-) 23:VT_state(-) 24:T_1(C) 25:T_2(C) 26:T_3(C) 27:T_4(C) 28:Pyra1(%) 29:Pyra2(%) 30:TempSpeicherHeizen 31:TempSpeicherKuehlung 32:TempWTKuehlung 33:TempWTRueck_Kuehl 34:TempQuelleAustritt 35:TempAussenfuehler 36:Temp24Stundenwert 37:Temp1Stundenwert 38:TempBrauchwasser 39:Reserve_1 40:Reserve2 41:Reserve3 42:TempWP1Quelleaus 43:TempWP1Quelleein 44:TempWP1Vorlauf 45:TempWP1Ruecklauf 46:TempWP1PTherm 47:TempWP1PElek 48:TempWP1COP 49:WP1VerfluessigerTemperatur 50:WP1VerfluessigerDruck 51:WP1VerdampferTemperatur 52:WP1VerdampferDruck 53:WP1Sauggastemperatur 54:TempWP2Quelleaus 55:TempWP2Quelleein 56:TempWP2Vorlauf 57:TempWP2Ruecklauf 58:TempWP2PTherm 59:TempWP2PElek 60:TempWP2COP 61:WP2VerfluessigerTemperatur 62:WP2VerfluessigerDruck 63:WP2VerdampferTemperatur 64:WP2VerdampferDruck 65:WP2Sauggastemperatur 66:SollwertMischkreis1 67:TemperaturMischkreis1 68:StellwertMischkreis1 69:SollwertMischkreis2 70:TemperaturMischkreis2 71:StellwertMischkreis2 72:SollwertMischkreis3 73:TemperaturMischkreis3 74:StellwertMischkreis3 75:Reserve1 76:Reserve4 77:Reserve5 78:Reserve6 79:Reserve7 80:Reserve8 81:Reserve9 82:Reserve11 83:Reserve12 84:AlarmWP1 85:AusgangsstatusWP1 86:B_ZeitWP1Kompressor1 87:B_ZeitWP1Kompressor2 88:BetriebsmodusWP1 89:IntegerreserveWP1 90:AlarmWP2 91:AusgangsstatusWP2 92:B_ZeitWP2Kompressor1 93:B_ZeitWP2Kompressor2 94:BetriebsmodusWP2Working 95:IntegerreserveWP2 96:1_T_VL(C) 97:1_T_RL(C) 98:1_Vdot(lh) 99:1_Qdot(kW) 100:1_Q(kWh) 101:4_T_VL(C) 102:4_T_RL(C) 103:4_Vdot(lh) 104:4_Qdot(kW) 105:4_Q(kWh) 106:10_T_VL(C) 107:10_T_RL(C) 108:10_Vdot(lh) 109:10_Qdot(kW) 110:10_Q(kWh) 111:SMPumpeSoleWP1 112:SMPumpeHeizungWP1 113:SMPumpeKuehlungEM 114:SMPumpeRueckkuehlungEM 115:SMPumpeSoleWP2 116:SMPumpeHeizungWP2 117:SMPumpeBrauchwasserEM 118:RunErrorWP1Solepumpe 119:RunErrorWp1Heizungspumpe 120:RunErrorPumpeKuehlung 121:RunErrorRueckkuehlung 122:RunErrorWP2Solepumpe 123:RunErrorWP2Heizungspumpe 124:RunErrorPumpeBrauchwasser 125:RunErrrorV1_1 126:RunErrorV1_2 127:RunErrorV2_1 128:RunErrorV2_2 129:RunErrorV3_1 130:RunErrorV3_2 131:RunErrorVBWW 132:ErrorT1SpeicherHeizen 133:ErrorT2SpeicherKuehlen 134:ErrorT3Kuehlung 135:ErrorT4Rueckkuehlung 136:ErrorT5Quellenaustitt 137:ErrorT_Brauchwasser 138:ErrorT_Aussenfuehler 139:SMSchaltschrank 140:SMPhaseDrehfeld 141:SMWP1 142:SMWP2 143:SMSammelstoerung 144:SMReserve4 145:SMReserve5 146:SMReserve6 147:BMPumpeSoleWP1 148:BMPumpeHeizungWP1 149:BMPumpeKuehlung 150:BMPumpeRueckkuehlung 151:BMPumpeSoleWP2 152:BMPumpeHeizungWP2 153:BMPumpeBrauchwasserBMPump 154:RMV1_1offen 155:RMV1_2offen 156:RMV2_1offen 157:RMV2_2offen 158:RMV3_1offen 159:RMV3_2offen 160:RMVBWWoffen 161:BMResettaster 162:BMWPBetrieb 163:BMReserve2 164:BMReserve3 165:BMReserve4 166:BMReserve5 167:BMReserve6 168:BMReserve7 169:BMReserve8 170:BMReserve9 171:T_innen(C)
2022.01.28 00:00:00 3456000  55.094 30.000 -52.000 4.000 3.000 0.000 0.000 240.000 11.016 2.631 50.000 1.000 1.000 55.125 0.000 5.023 0.000 0.000 1.027 2.488 0.000 9.031 3.000 1.000 12.100 23.500 25.000 13.800 0.000 0.000 22.600 11.600 5553.700 5553.700 6553.500 3.900 2.000 3.600 0.000 0.000 0.000 0.000 6550.100 6553.400 31.400 24.200 2.700 0.500 5.400 6546.800 5.400 27.500 16.800 6551.800 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 24.000 27.100 10.000 23.500 0.000 10.000 23.500 0.000 10.000 65.000 0.000 27.100 2.600 3.000 2.400 2.400 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1501.900 1504.700 626.000 1.800 2082.000 27.700 24.400 488.000 1.900 3223.000 24.000 32.100 598.000 -5.000 43.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 17.970
2022.01.28 00:00:30 3456030  55.000 30.000 -52.000 4.000 3.000 0.000 0.000 240.000 11.016 2.640 50.000 1.000 1.000 55.125 0.000 5.023 0.000 0.000 1.027 2.488 0.000 9.031 3.000 1.000 12.100 23.500 25.000 13.800 0.000 0.000 22.600 11.600 5553.700 5553.700 6553.500 3.900 2.000 3.600 0.000 0.000 0.000 0.000 6550.100 6553.300 30.100 24.200 2.700 0.500 5.500 6546.900 5.400 26.900 16.500 6552.400 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 24.000 27.400 10.000 23.500 0.000 10.000 23.500 0.000 10.000 72.100 0.000 27.400 2.600 3.000 2.400 2.400 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1501.900 1504.700 620.000 1.700 2083.000 27.700 24.400 482.000 1.900 3223.000 24.000 30.600 762.000 -5.200 43.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 17.960
2022.01.28 00:01:00 3456060  55.000 30.000 -52.000 4.000 3.000 0.000 0.000 240.000 11.016 2.640 50.000 1.000 1.000 55.094 0.000 5.016 0.000 0.000 1.027 2.488 0.000 9.031 3.000 1.000 12.100 23.600 25.300 13.700 0.000 0.000 22.600 11.600 5553.700 5553.700 6553.500 3.900 2.000 3.600 0.000 0.000 0.000 0.000 6550.100 6553.200 29.300 24.100 2.700 0.500 5.600 6547.200 5.500 26.700 16.400 6552.300 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 24.000 27.500 10.000 23.500 0.000 10.000 23.500 0.000 10.000 74.300 0.000 27.500 2.600 3.000 2.400 2.400 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1502.100 1504.700 628.000 1.700 2083.000 28.200 24.500 471.000 2.000 3223.000 23.800 29.200 839.000 -4.700 43.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 17.960
2022.01.28 00:01:30 3456090  -99.990000 30.000 -52.000 4.000 3.000 0.000 0.000 240.000 11.016 2.640 50.000 1.000 1.000 55.031 0.000 5.000 0.000 0.000 1.027 2.488 0.000 9.031 3.000 1.000 12.100 23.600 25.800 13.700 0.000 0.000 22.600 11.600 5553.700 5553.700 6553.500 3.900 2.000 3.600 0.000 0.000 0.000 0.000 6550.000 6553.200 28.900 24.100 2.700 0.500 5.500 6546.900 5.400 26.700 16.400 6550.400 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 24.000 27.500 10.000 23.500 0.000 10.000 23.500 0.000 10.000 73.800 0.000 27.500 2.600 3.000 2.400 2.400 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1502.100 1504.700 627.000 1.700 2083.000 28.300 24.600 468.000 2.000 3223.000 23.700 28.500 864.000 -4.300 43.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 17.950
2022.01.28 00:02:00 3456120  55.000 30.000 -52.000 4.000 3.000 0.000 0.000 240.000 11.016 2.640 50.000 1.000 1.000 55.062 0.000 4.988 0.000 0.000 1.027 2.488 0.000 9.031 3.000 1.000 12.100 23.500 26.400 13.800 0.000 0.000 22.600 11.600 5553.700 5553.700 6553.500 3.900 2.000 3.700 0.000 0.000 0.000 0.000 6549.900 6553.200 28.700 24.000 2.600 0.500 5.500 6546.600 5.300 26.700 16.400 6549.400 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 24.000 27.500 10.000 23.500 0.000 10.000 23.500 0.000 10.000 72.900 0.000 27.500 2.600 3.000 2.400 2.400 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1502.200 1504.900 619.000 1.700 2083.000 28.300 24.700 468.000 2.000 3223.000 23.700 28.400 855.000 -4.100 43.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 17.950
2022.01.28 00:02:30 3456150  54.922 30.000 -52.000 4.000 3.000 0.000 0.000 240.000 11.016 2.631 50.000 1.000 1.000 55.031 0.000 4.996 0.000 0.000 1.027 2.488 0.000 9.031 3.000 1.000 12.000 23.500 26.900 13.800 0.000 0.000 22.600 11.600 5553.700 5553.700 6553.500 3.900 2.000 3.700 0.000 0.000 0.000 0.000 6549.800 6553.100 28.700 24.000 2.600 0.500 5.400 6546.400 5.300 26.700 16.400 6549.900 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 24.000 27.500 10.000 23.500 0.000 10.000 23.500 0.000 10.000 71.200 0.000 27.500 2.600 3.000 2.400 2.400 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1502.200 1504.900 622.000 1.700 2083.000 28.200 24.900 467.000 1.800 3223.000 23.900 28.500 842.000 -4.000 43.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 17.950
2022.01.28 00:03:00 3456180  54.922 30.000 -53.000 4.000 3.000 0.000 0.000 239.000 11.188 2.640 50.000 1.000 1.000 55.031 0.000 4.992 0.000 0.000 1.027 2.488 0.000 9.031 3.000 1.000 12.000 23.500 27.300 13.800 0.000 0.000 22.600 11.600 5553.700 5553.700 6553.500 3.900 2.000 3.700 0.000 0.000 0.000 0.000 6549.700 6553.100 28.800 24.100 2.600 0.500 5.400 6546.600 5.300 26.900 16.500 6551.200 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 24.000 27.500 10.000 23.500 0.000 10.000 23.500 0.000 10.000 69.300 0.000 27.500 2.600 3.000 2.400 2.400 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1502.200 1505.000 627.000 1.800 2083.000 28.200 24.900 467.000 1.800 3223.000 24.000 28.600 820.000 -3.900 43.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 17.960
2022.01.28 00:03:30 3456210  54.922 30.000 -53.000 4.000 3.000 0.000 0.000 240.000 11.016 2.631 50.000 1.000 1.000 55.000 0.000 4.992 0.000 0.000 1.027 2.488 0.000 9.031 3.000 1.000 12.000 23.500 27.500 13.800 0.000 0.000 22.600 11.600 5553.700 5553.700 6553.400 3.900 2.000 3.700 0.000 0.000 0.000 0.000 6549.700 6553.100 28.900 24.200 2.700 0.500 5.500 6546.800 5.400 27.000 16.600 6551.900 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 24.000 27.500 10.000 23.500 0.000 10.000 23.500 0.000 10.000 67.500 0.000 27.500 2.600 3.000 2.400 2.400 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1502.200 1505.000 624.000 1.800 2083.000 28.200 25.100 467.000 1.700 3223.000 24.000 28.700 796.000 -3.900 43.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 17.950
2022.01.28 00:04:00 3456240  -99.990000 30.000 -53.000 4.000 3.000 0.000 0.000 240.000 11.016 2.640 50.000 1.000 1.000 55.000 0.000 4.988 0.000 0.000 0.000 2.488 0.000 0.000 3.000 1.000 12.000 23.500 27.600 13.800 0.000 0.000 22.600 11.600 5553.700 5553.700 6553.300 3.900 2.000 3.700 0.000 0.000 0.000 0.000 6549.700 6553.000 29.100 24.300 2.700 0.500 5.500 6546.900 5.400 27.200 16.700 6551.700 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 24.000 27.500 10.000 23.500 0.000 10.000 23.500 0.000 10.000 66.500 0.000 27.500 2.600 3.000 2.400 2.400 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1502.400 1504.900 622.000 1.600 2083.000 28.300 25.400 467.000 1.600 3223.000 24.100 29.000 779.000 -3.900 43.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 17.950
2022.01.28 00:04:30 3456270  54.922 30.000 -53.000 4.000 3.000 0.000 0.000 240.000 11.016 2.640 50.000 1.000 1.000 55.000 0.000 4.992 0.000 0.000 0.000 2.488 0.000 0.000 3.000 1.000 12.000 23.600 27.900 13.700 0.000 0.000 22.600 11.600 5553.700 5553.700 6553.300 3.900 2.000 3.700 0.000 0.000 0.000 0.000 6549.700 6552.900 29.300 24.400 2.600 0.500 5.400 6546.600 5.400 27.300 16.700 6549.800 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 24.000 27.500 10.000 23.500 0.000 10.000 23.500 0.000 10.000 65.900 0.000 27.500 2.600 3.000 2.400 2.400 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1502.500 1505.000 620.000 1.600 2083.000 28.300 25.400 463.000 1.600 3223.000 24.200 29.200 761.000 -3.900 43.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 17.930
