Displayname,WS.DWD-----MEA.T-,STO.EL-INV---OUT-MEA.POW.EL-,Kalt_unten------,GEN.HC-HP--R410a--CALC.POW.H-,DIST.HC--MTR.HC-W.HC-RET-MEA.VF-,STO.H---W.H-BOT-MEA.T-,GEN.H-HP--W.H-RET-MEA.T-,ODC----VER-MEA.GLIR-CALC,GEN.H--MTR.H-W.H-RET-MEA.VF-,STO.EL-SCC---IN-MEA.CUR-,DIST.HC--MTR.HC-W.HC-RET-MEA.T-,STO.EL-INV---OUT-MEA.VOLT-,STO.EL-INV----MEA.VOLT-,STO.EL-SCC----MEA.VOLT-,STO.EL-SCC----CALC.POW.EL-,GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-,ZONE---AIR.ID--MEA.T-,ODC---AIR.OD--CALC.T-,GEN.H--MTR.H-W.H-SUP-CALC.T-,STO.EL-INV---OUT-MEA.CUR-,STO.EL-INV---IN-MEA.CUR-,Kalt_oben------,DIST.HC--MTR.HC-W.HC-SUP-MEA.T-,GEN.C-HP--BRINE-SUP-CALC.T-,GEN.EL-PV----MEA.VOLT-,STO.EL-INV---IN-MEA.VOLT-,GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-,STO.C---W.C-BOT-MEA.T-,GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-,GEN.HC-HP--R410a--CALC.COP.virt-,GEN.EL-PV----MEA.CUR-,GEN.H-HP--W.H-SUP-MEA.T-,GEN.C-HP--BRINE-RET-CALC.T-,STO.EL-INV---IN-MEA.POW.EL-,ODC----HOR-MEA.GLIR-CALC,Warm_unten------,GEN.HC-HP.COMP--R410a--CALC.POW.EL-,Warm_oben------,GEN.H--MTR.H-W.H-RET-MEA.T-
2022-01-02 00:00:00,5.85,0.15,11.1,0.0,369.6,22.23,,0.0,34.57,0.0,22.33,238.0,56.38,56.41,0.0,,19.05,7.8,21.84,0.65,0.0,12.28,23.26,,4.8,3.0,,10.5,0.0,0.0,0.0,,,0.0,0.0,22.83,0.0,23.83,22.06
2022-01-02 00:15:00,5.9,0.16,11.1,0.0,405.27,21.99,,0.0,37.3,0.0,22.06,238.07,56.36,56.41,0.0,,18.93,7.74,21.64,0.66,0.0,12.31,22.95,,4.78,3.0,,10.55,0.0,0.0,0.0,,,0.0,0.0,,0.0,23.52,21.8
2022-01-02 00:30:00,6.05,0.27,11.14,0.84,433.73,21.75,21.91,0.0,290.5,0.0,21.84,238.03,56.21,56.27,0.0,,18.78,7.59,22.11,1.14,0.0,12.32,22.66,17.33,4.79,3.0,,10.6,0.0,1.56,0.0,22.69,16.62,0.0,0.0,,0.12,23.21,21.58
2022-01-02 00:45:00,5.3,0.6,10.64,3.28,466.72,21.6,23.01,0.0,490.93,0.0,23.03,237.93,55.76,55.8,0.0,3.39,18.61,7.35,28.32,2.51,0.0,11.96,25.87,7.02,4.79,3.0,5.08,10.17,524.83,6.58,0.0,28.63,3.71,0.0,0.0,,0.5,24.4,22.71
2022-01-02 01:00:00,4.9,0.63,10.28,3.04,433.07,21.6,25.33,0.0,488.15,0.0,25.87,237.96,55.6,55.63,0.0,-0.16,18.52,6.99,30.14,2.64,0.0,11.54,29.2,4.3,4.77,3.07,2.94,9.8,660.44,5.78,0.0,30.31,0.77,0.0,0.0,22.8,0.5,27.79,25.13
2022-01-02 01:15:00,5.8,0.63,10.28,3.0,363.03,21.64,25.88,0.0,486.17,0.0,27.06,237.97,55.52,55.54,0.0,-0.62,18.66,6.77,30.7,2.66,0.0,11.53,30.4,3.86,4.75,3.0,2.41,9.8,656.5,5.66,0.0,30.9,0.29,0.0,0.0,,0.5,30.28,25.63
2022-01-02 01:30:00,5.05,0.63,10.31,2.99,298.37,21.76,25.54,0.0,496.83,0.0,27.37,237.93,55.44,55.47,0.0,-0.76,18.91,6.62,30.49,2.66,0.0,11.55,30.62,3.77,4.76,3.0,2.3,9.8,655.4,5.71,0.0,30.59,0.43,0.0,21.24,,0.51,30.87,25.27
2022-01-02 01:45:00,4.9,0.63,10.34,3.0,270.37,22.04,25.22,0.0,500.73,0.0,27.27,237.9,55.39,55.42,0.0,-0.66,19.13,6.6,29.88,2.63,0.0,11.55,30.5,3.8,4.76,3.0,2.39,9.8,655.9,5.76,0.0,30.16,0.34,0.0,0.0,,0.51,30.83,24.95
2022-01-02 02:00:00,5.3,0.55,10.36,2.52,245.73,24.79,25.06,0.0,424.33,0.0,27.08,238.03,55.43,55.45,0.0,-0.23,19.29,6.6,29.71,2.32,0.0,11.57,30.31,4.21,4.77,3.0,2.84,9.8,577.27,4.8,0.0,30.01,0.81,0.0,0.0,26.36,0.42,30.66,24.82
2022-01-02 02:15:00,5.6,0.16,10.36,0.0,230.87,25.84,,0.0,14.97,0.0,26.93,238.03,55.8,55.83,0.0,,19.41,6.6,24.78,0.65,0.0,11.6,29.93,,4.77,3.07,,9.8,5.1,0.0,0.0,,,0.0,0.0,,0.0,30.53,25.73
2022-01-02 02:30:00,5.95,0.16,10.38,0.0,216.13,25.04,,0.0,17.9,0.0,26.55,238.1,55.85,55.87,0.0,,19.53,6.75,24.34,0.65,0.0,11.58,29.36,,4.77,3.0,,9.8,2.13,0.0,0.0,,,0.0,0.0,,0.0,30.02,26.17
2022-01-02 02:45:00,5.1,0.16,10.41,0.0,220.5,25.21,,0.0,19.3,0.0,26.27,237.8,55.87,55.89,0.0,,19.61,6.9,24.68,0.66,0.0,11.65,28.96,,4.77,3.0,,9.85,0.0,0.0,0.0,,,0.0,0.0,,0.0,29.59,25.9
2022-01-02 03:00:00,5.45,0.16,10.43,0.0,221.53,25.3,,0.0,18.5,0.0,25.98,238.0,55.86,55.89,0.0,,19.66,7.0,24.49,0.66,0.0,11.67,28.23,,4.77,3.0,,9.9,0.0,0.0,0.0,,,0.0,0.0,25.9,0.0,28.29,25.61
2022-01-02 03:15:00,4.8,0.16,10.44,0.0,242.37,25.15,,0.0,25.33,0.0,25.27,238.07,55.86,55.89,0.0,,19.66,7.0,24.28,0.66,0.0,11.73,26.76,,4.77,3.0,,9.9,0.0,0.0,0.0,,,0.0,0.0,,0.0,26.89,25.03
2022-01-02 03:30:00,4.35,0.16,10.49,0.0,264.77,24.72,,0.0,24.93,0.0,24.6,238.07,55.86,55.89,0.0,,19.6,6.88,23.85,0.65,0.0,11.71,26.03,,4.76,3.0,,9.9,0.0,0.0,0.0,,,0.0,0.0,,0.0,26.54,24.37
2022-01-02 03:45:00,4.0,0.15,10.49,0.0,283.37,24.22,,0.0,27.53,0.0,24.25,238.03,55.86,55.88,0.0,,19.51,6.7,23.37,0.66,0.0,11.75,25.78,,4.75,3.0,,9.9,0.0,0.0,0.0,,,0.0,0.0,,0.0,26.42,23.99
2022-01-02 04:00:00,3.9,0.16,10.53,0.0,311.6,23.89,,0.0,30.7,0.0,24.07,237.93,55.86,55.88,0.0,,19.39,6.66,23.14,0.66,0.0,11.75,25.56,,4.75,3.0,,9.97,0.0,0.0,0.0,,,0.0,0.0,24.45,0.0,26.19,23.76
2022-01-02 04:15:00,3.8,0.16,10.56,0.0,329.0,23.64,,0.0,30.8,0.0,23.83,238.03,55.87,55.87,0.0,,19.26,6.53,23.05,0.66,0.0,11.76,25.15,,4.75,3.0,,10.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,25.68,23.54
2022-01-02 04:30:00,3.9,0.15,10.57,0.0,350.73,23.39,,0.0,33.43,0.0,23.47,238.07,55.86,55.88,0.0,,19.14,6.5,22.86,0.66,0.0,11.79,24.59,,4.77,3.0,,10.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,25.12,23.2
