Displayname,WS.DWD-----MEA.T-,STO.EL-INV---OUT-MEA.POW.EL-,Kalt_unten------,GEN.HC-HP--R410a--CALC.POW.H-,DIST.HC--MTR.HC-W.HC-RET-MEA.VF-,STO.H---W.H-BOT-MEA.T-,GEN.H-HP--W.H-RET-MEA.T-,ODC----VER-MEA.GLIR-CALC,GEN.H--MTR.H-W.H-RET-MEA.VF-,STO.EL-SCC---IN-MEA.CUR-,DIST.HC--MTR.HC-W.HC-RET-MEA.T-,STO.EL-INV---OUT-MEA.VOLT-,STO.EL-INV----MEA.VOLT-,STO.EL-SCC----MEA.VOLT-,STO.EL-SCC----CALC.POW.EL-,GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-,ZONE---AIR.ID--MEA.T-,ODC---AIR.OD--CALC.T-,GEN.H--MTR.H-W.H-SUP-CALC.T-,STO.EL-INV---OUT-MEA.CUR-,STO.EL-INV---IN-MEA.CUR-,Kalt_oben------,DIST.HC--MTR.HC-W.HC-SUP-MEA.T-,GEN.C-HP--BRINE-SUP-CALC.T-,GEN.EL-PV----MEA.VOLT-,STO.EL-INV---IN-MEA.VOLT-,GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-,STO.C---W.C-BOT-MEA.T-,GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-,GEN.HC-HP--R410a--CALC.COP.virt-,GEN.EL-PV----MEA.CUR-,GEN.H-HP--W.H-SUP-MEA.T-,GEN.C-HP--BRINE-RET-CALC.T-,STO.EL-INV---IN-MEA.POW.EL-,ODC----HOR-MEA.GLIR-CALC,Warm_unten------,GEN.HC-HP.COMP--R410a--CALC.POW.EL-,Warm_oben------,GEN.H--MTR.H-W.H-RET-MEA.T-
2023-05-29 00:00:00,16.75,0.12,22.18,0.0,-0.6,22.3,,0.0,0.0,0.0,,237.93,56.64,56.66,0.0,,25.83,18.49,,0.51,0.0,22.76,,,6.39,4.0,,21.5,0.0,0.0,0.0,,,0.0,0.0,23.15,0.0,23.68,
2023-05-29 00:15:00,15.7,0.12,22.19,0.0,-0.77,22.3,,0.0,0.0,0.0,,238.0,56.63,56.66,0.0,,25.54,18.14,,0.51,0.0,22.77,,,6.37,4.0,,21.5,0.0,0.0,0.0,,,0.0,0.0,,0.0,23.67,
2023-05-29 00:30:00,15.4,0.12,22.17,0.0,-0.9,22.3,,0.0,0.0,0.0,,237.87,56.56,56.66,0.0,,25.26,17.65,,0.51,0.0,22.75,,,6.35,4.0,,21.5,0.0,0.0,0.0,,,0.0,0.0,,0.0,23.66,
2023-05-29 00:45:00,14.8,0.12,22.18,0.0,-0.79,22.3,,0.0,0.0,0.0,,237.93,56.55,56.63,0.0,,24.99,17.11,,0.51,0.0,22.76,,,6.34,4.0,,21.5,0.0,0.0,0.0,,,0.0,0.0,,0.0,23.66,
2023-05-29 01:00:00,14.4,0.12,22.16,0.0,-0.92,22.3,,0.0,0.0,0.0,,237.96,56.55,56.62,0.0,,24.68,16.52,,0.5,0.0,22.75,,,6.32,4.0,,21.5,0.0,0.0,0.0,,,0.0,0.0,23.14,0.0,23.65,
2023-05-29 01:15:00,14.3,0.12,22.16,0.0,-0.73,22.3,,0.0,0.0,0.0,,237.83,56.55,56.62,0.0,,24.41,16.12,,0.51,0.0,22.74,,,6.32,4.0,,21.5,0.0,0.0,0.0,,,0.0,0.0,,0.0,23.65,
2023-05-29 01:30:00,13.65,0.12,22.14,0.0,-0.7,22.3,,0.0,0.0,0.0,,237.83,56.56,56.62,0.0,,24.12,15.8,,0.5,0.0,22.74,,,6.31,4.0,,21.5,0.0,0.0,0.0,,,0.0,0.0,,0.0,23.64,
2023-05-29 01:45:00,13.5,0.12,22.11,0.0,-0.8,22.3,,0.0,0.0,0.0,,237.83,56.55,56.62,0.0,,23.84,15.56,,0.51,0.0,22.73,,,6.31,4.0,,21.5,0.0,0.0,0.0,,,0.0,0.0,,0.0,23.64,
2023-05-29 02:00:00,13.2,0.12,22.07,0.0,-0.7,22.3,,0.0,0.0,0.0,,237.43,56.55,56.62,0.0,,23.57,15.36,,0.51,0.0,22.74,,,6.3,4.0,,21.5,0.0,0.0,0.0,,,0.0,0.0,23.09,0.0,23.63,
2023-05-29 02:15:00,12.9,0.12,22.05,0.0,-0.83,22.3,,0.0,0.0,0.0,,237.73,56.55,56.62,0.0,,23.3,15.28,,0.5,0.0,22.74,,,6.28,4.0,,21.5,0.0,0.0,0.0,,,0.0,0.0,,0.0,23.63,
2023-05-29 02:30:00,12.65,0.12,22.06,0.0,-0.73,22.3,,0.0,0.0,0.0,,237.53,56.55,56.6,0.0,,23.05,15.14,,0.5,0.0,22.72,,,6.28,4.0,,21.5,0.0,0.0,0.0,,,0.0,0.0,,0.0,23.62,
2023-05-29 02:45:00,12.4,0.12,22.04,0.0,-0.8,22.3,,0.0,0.0,0.0,,237.57,56.55,56.59,0.0,,22.8,15.01,,0.51,0.0,22.71,,,6.28,4.0,,21.5,0.0,0.0,0.0,,,0.0,0.0,,0.0,23.62,
