Displayname,WS.DWD-----MEA.T-,STO.EL-INV---OUT-MEA.POW.EL-,Kalt_unten------,GEN.HC-HP--R410a--CALC.POW.H-,DIST.HC--MTR.HC-W.HC-RET-MEA.VF-,STO.H---W.H-BOT-MEA.T-,GEN.H-HP--W.H-RET-MEA.T-,ODC----VER-MEA.GLIR-CALC,GEN.H--MTR.H-W.H-RET-MEA.VF-,STO.EL-SCC---IN-MEA.CUR-,DIST.HC--MTR.HC-W.HC-RET-MEA.T-,STO.EL-INV---OUT-MEA.VOLT-,STO.EL-INV----MEA.VOLT-,STO.EL-SCC----MEA.VOLT-,STO.EL-SCC----CALC.POW.EL-,GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-,ZONE---AIR.ID--MEA.T-,ODC---AIR.OD--CALC.T-,GEN.H--MTR.H-W.H-SUP-CALC.T-,STO.EL-INV---OUT-MEA.CUR-,STO.EL-INV---IN-MEA.CUR-,Kalt_oben------,DIST.HC--MTR.HC-W.HC-SUP-MEA.T-,GEN.C-HP--BRINE-SUP-CALC.T-,GEN.EL-PV----MEA.VOLT-,STO.EL-INV---IN-MEA.VOLT-,GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-,STO.C---W.C-BOT-MEA.T-,GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-,GEN.HC-HP--R410a--CALC.COP.virt-,GEN.EL-PV----MEA.CUR-,GEN.H-HP--W.H-SUP-MEA.T-,GEN.C-HP--BRINE-RET-CALC.T-,STO.EL-INV---IN-MEA.POW.EL-,ODC----HOR-MEA.GLIR-CALC,Warm_unten------,GEN.HC-HP.COMP--R410a--CALC.POW.EL-,Warm_oben------,GEN.H--MTR.H-W.H-RET-MEA.T-
2022-06-24 00:00:00,17.85,0.74,10.87,3.48,336.07,33.42,34.42,0.0,548.23,0.0,12.82,237.0,55.62,55.64,0.0,33.21,19.85,18.8,39.25,3.13,0.0,12.65,9.73,9.81,5.06,5.0,25.88,10.35,462.0,5.4,0.0,39.42,6.75,0.0,0.0,33.54,0.6,36.21,34.14
2022-06-24 00:15:00,17.9,0.74,9.98,3.37,141.27,32.96,33.97,0.0,532.03,0.0,12.71,236.93,55.54,55.57,0.0,32.74,19.2,18.77,38.78,3.12,0.0,11.69,9.2,8.75,5.07,5.0,25.79,9.48,464.23,5.31,0.0,38.96,5.55,0.0,0.0,,0.6,35.74,33.67
2022-06-24 00:30:00,17.8,0.72,8.72,3.23,-0.93,32.51,33.52,0.0,506.97,0.0,,237.0,55.52,55.52,0.0,32.26,18.68,18.68,38.29,3.04,0.0,10.24,,6.95,5.09,5.0,25.2,8.21,462.97,5.14,0.0,38.5,3.84,0.0,0.0,,0.6,35.21,33.21
2022-06-24 00:45:00,17.7,0.7,7.3,3.07,-0.86,31.99,33.0,0.0,481.93,0.0,,236.97,55.46,55.49,0.0,31.77,18.43,18.6,37.82,2.95,0.0,8.85,,4.98,5.1,5.0,25.29,6.74,462.9,4.98,0.0,38.0,2.05,0.0,0.0,,0.6,34.65,32.69
2022-06-24 01:00:00,17.75,0.7,5.93,2.93,-0.41,31.54,32.53,0.0,457.41,0.0,,237.0,55.44,55.47,0.0,31.42,18.38,18.6,37.32,2.95,0.0,7.66,,3.25,5.06,5.0,25.4,5.27,463.15,4.8,0.0,37.51,0.7,0.0,0.0,31.81,0.6,34.26,32.25
2022-06-24 01:15:00,17.8,0.7,5.53,2.81,-0.77,31.16,32.16,0.0,437.9,0.0,,237.03,55.44,55.44,0.0,31.02,18.42,18.6,36.98,2.96,0.0,6.59,,1.92,5.05,5.0,24.92,4.85,462.5,4.67,0.0,37.16,0.61,0.0,0.0,,0.6,33.79,31.87
2022-06-24 01:30:00,17.7,0.7,5.24,2.72,-0.87,30.72,31.73,0.0,426.63,0.0,,236.97,55.41,55.42,0.0,30.7,18.47,18.6,36.52,2.95,0.0,5.03,,0.84,5.06,5.0,25.29,4.59,463.13,4.6,0.0,36.71,-0.31,0.0,0.0,,0.6,33.42,31.45
2022-06-24 01:45:00,17.6,0.7,4.54,3.18,-0.77,30.45,31.5,0.0,491.9,0.0,,237.07,55.35,55.39,0.0,21.94,18.54,18.5,36.41,2.98,0.0,2.71,,7.19,5.05,5.0,20.7,3.98,510.37,5.28,0.0,36.55,4.58,0.0,0.0,,0.6,33.65,31.21
2022-06-24 02:00:00,17.55,0.34,5.86,0.63,-0.83,28.82,30.2,0.0,122.63,0.0,,237.67,55.56,55.62,0.0,26.68,18.63,18.28,33.75,1.44,0.0,3.63,,8.02,5.11,4.33,20.39,5.33,288.87,1.16,0.0,34.05,-2.4,0.0,0.0,27.15,0.17,30.17,30.01
2022-06-24 02:15:00,17.3,0.23,7.68,0.46,-0.6,25.55,26.41,0.0,225.23,0.0,,237.73,55.74,55.76,0.0,,18.74,18.19,26.5,0.97,0.0,8.07,,12.88,5.13,4.17,,7.17,9.2,0.87,0.0,27.25,11.76,0.0,0.0,,0.08,27.23,25.91
