Displayname,WS.DWD-----MEA.T-,STO.EL-INV---OUT-MEA.POW.EL-,Kalt_unten------,GEN.HC-HP--R410a--CALC.POW.H-,DIST.HC--MTR.HC-W.HC-RET-MEA.VF-,STO.H---W.H-BOT-MEA.T-,GEN.H-HP--W.H-RET-MEA.T-,ODC----VER-MEA.GLIR-CALC,GEN.H--MTR.H-W.H-RET-MEA.VF-,STO.EL-SCC---IN-MEA.CUR-,DIST.HC--MTR.HC-W.HC-RET-MEA.T-,STO.EL-INV---OUT-MEA.VOLT-,STO.EL-INV----MEA.VOLT-,STO.EL-SCC----MEA.VOLT-,STO.EL-SCC----CALC.POW.EL-,GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-,ZONE---AIR.ID--MEA.T-,ODC---AIR.OD--CALC.T-,GEN.H--MTR.H-W.H-SUP-CALC.T-,STO.EL-INV---OUT-MEA.CUR-,STO.EL-INV---IN-MEA.CUR-,Kalt_oben------,DIST.HC--MTR.HC-W.HC-SUP-MEA.T-,GEN.C-HP--BRINE-SUP-CALC.T-,GEN.EL-PV----MEA.VOLT-,STO.EL-INV---IN-MEA.VOLT-,GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-,STO.C---W.C-BOT-MEA.T-,GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-,GEN.HC-HP--R410a--CALC.COP.virt-,GEN.EL-PV----MEA.CUR-,GEN.H-HP--W.H-SUP-MEA.T-,GEN.C-HP--BRINE-RET-CALC.T-,STO.EL-INV---IN-MEA.POW.EL-,ODC----HOR-MEA.GLIR-CALC,Warm_unten------,GEN.HC-HP.COMP--R410a--CALC.POW.EL-,Warm_oben------,GEN.H--MTR.H-W.H-RET-MEA.T-
2022-10-01 00:00:00,9.05,,,0.0,581.09,19.65,,,54.19,,19.89,,,,,,18.99,10.24,24.9,,,,20.12,,,,,17.9,0.0,0.0,,,,,,,0.0,,19.65
2022-10-01 00:15:00,8.8,,,0.0,615.87,19.56,,,135.32,,19.79,,,,,,18.83,10.05,24.9,,,,20.02,,,,,17.9,0.0,0.0,,,,,,,0.0,,19.55
2022-10-01 00:30:00,8.95,,,2.77,618.2,19.5,20.41,,452.39,,20.45,,,,,7.4,18.66,9.95,24.66,,,,21.76,10.58,,,9.49,17.9,589.85,5.56,,24.67,7.6,,,,0.41,,20.11
2022-10-01 00:45:00,8.8,,,3.16,620.37,19.63,23.66,,501.85,,23.71,,,,,1.3,18.53,9.68,25.11,,,,26.05,5.8,,,4.47,17.9,675.65,6.26,,28.67,2.22,,,,0.5,,23.45
2022-10-01 01:00:00,8.55,,,0.0,612.11,20.95,,,57.47,,22.82,,,,,,18.63,9.41,25.61,,,,22.47,,,,,17.9,5.0,0.0,,,,,,,0.0,,22.75
2022-10-01 01:15:00,8.0,,,0.0,610.8,21.2,,,56.5,,21.55,,,,,,18.7,9.4,25.01,,,,21.85,,,,,17.9,2.55,0.0,,,,,,,0.0,,21.3
2022-10-01 01:30:00,8.2,,,2.28,617.77,21.11,21.88,,483.38,,21.91,,,,,5.32,18.68,9.49,24.75,,,,23.21,8.56,,,8.31,17.9,468.68,4.55,,24.97,6.04,,,,0.35,,21.54
2022-10-01 01:45:00,8.1,,,1.62,615.37,21.37,24.46,,325.43,,24.53,,,,,1.67,18.68,9.38,25.49,,,,25.85,5.64,,,4.65,17.9,402.73,3.25,,27.74,2.76,,,,0.26,,24.25
2022-10-01 02:00:00,8.05,,,0.0,603.9,22.17,,,56.27,,22.86,,,,,,18.8,9.3,25.24,,,,23.12,,,,,17.9,4.05,0.0,,,,,,,0.0,,22.61
2022-10-01 02:15:00,8.1,,,0.0,607.45,22.11,,,55.35,,22.24,,,,,,18.86,9.3,25.0,,,,22.71,,,,,17.9,1.26,0.0,,,,,,,0.0,,21.99
2022-10-01 02:30:00,8.3,,,1.15,602.55,21.86,22.1,,294.55,,22.08,,,,,8.0,18.87,9.36,24.79,,,,22.8,10.77,,,11.55,17.9,241.26,2.21,,23.5,9.41,,,,0.18,,21.82
2022-10-01 02:45:00,8.1,,,2.25,608.63,21.86,23.91,,408.58,,24.18,,,,,1.66,18.85,9.4,25.37,,,,26.16,6.01,,,4.66,17.9,521.48,4.57,,28.25,2.77,,,,0.36,,23.75
2022-10-01 03:00:00,8.45,,,0.0,586.5,22.61,,,56.23,,23.64,,,,,,18.93,9.3,25.5,,,,23.85,,,,,17.9,4.48,0.0,,,,,,,0.0,,23.45
2022-10-01 03:15:00,9.0,,,0.0,576.05,22.62,,,54.5,,22.74,,,,,,18.99,9.33,25.05,,,,23.25,,,,,17.85,1.9,0.0,,,,,,,0.0,,22.46
2022-10-01 03:30:00,9.5,,,0.0,568.33,22.32,,,55.38,,22.45,,,,,,19.01,9.55,25.0,,,,23.03,,,,,17.8,0.0,0.0,,,,,,,0.0,,22.19
2022-10-01 03:45:00,10.0,,,2.3,580.19,22.14,22.7,,516.91,,22.77,,,,,5.64,19.02,9.76,24.92,,,,24.3,9.4,,,8.75,17.8,500.27,4.57,,25.85,6.81,,,,0.36,,22.44
2022-10-01 04:00:00,10.25,,,0.85,573.0,22.46,24.55,,205.55,,24.56,,,,,3.48,19.05,9.64,25.52,,,,25.62,6.68,,,6.27,17.8,201.67,1.7,,26.76,4.14,,,,0.14,,24.36
2022-10-01 04:15:00,10.4,,,0.0,560.7,22.9,,,50.96,,23.18,,,,,,19.14,9.6,25.2,,,,23.63,,,,,17.8,3.83,0.0,,,,,,,0.0,,22.92
2022-10-01 04:30:00,10.6,,,0.0,560.05,22.67,,,51.65,,22.78,,,,,,19.2,9.69,25.09,,,,23.34,,,,,17.8,0.0,0.0,,,,,,,0.0,,22.5
2022-10-01 04:45:00,10.7,,,0.0,523.5,22.42,,,203.4,,22.57,,,,,,19.23,9.87,25.05,,,,23.16,,,,,17.8,0.0,0.0,,,,,,,0.0,,22.31
2022-10-01 05:00:00,10.75,,,3.16,528.05,22.26,23.13,,505.85,,23.39,,,,,3.87,19.23,10.0,25.09,,,,25.4,7.81,,,6.79,17.8,654.24,6.27,,27.6,4.4,,,,0.48,,22.77
2022-10-01 05:15:00,10.8,,,0.3,496.94,22.73,24.59,,104.74,,24.65,,,,,4.04,19.26,10.0,25.51,,,,25.44,6.7,,,6.83,17.8,91.1,0.59,,26.09,4.69,,,,0.05,,24.33
2022-10-01 05:30:00,10.75,,,0.0,504.73,23.08,,,50.73,,23.24,,,,,,19.36,10.14,25.21,,,,23.75,,,,,17.8,2.96,0.0,,,,,,,0.0,,22.99
2022-10-01 05:45:00,10.8,,,0.0,484.91,22.8,,,48.57,,22.9,,,,,,19.43,11.0,25.11,,,,23.5,,,,,17.8,0.0,0.0,,,,,,,0.0,,22.63
2022-10-01 06:00:00,10.95,,,0.0,482.0,22.56,,,189.8,,22.73,,,,,,19.49,11.62,25.09,,,,23.32,,,,,17.8,0.0,0.0,,,,,,,0.0,,22.46
2022-10-01 06:15:00,11.3,,,0.0,482.05,22.37,,,48.05,,22.54,,,,,,19.56,12.01,25.1,,,,23.08,,,,,17.8,0.0,0.0,,,,,,,0.0,,22.26
