Displayname,WS.DWD-----MEA.T-,STO.EL-INV---OUT-MEA.POW.EL-,Kalt_unten------,GEN.HC-HP--R410a--CALC.POW.H-,DIST.HC--MTR.HC-W.HC-RET-MEA.VF-,STO.H---W.H-BOT-MEA.T-,GEN.H-HP--W.H-RET-MEA.T-,ODC----VER-MEA.GLIR-CALC,GEN.H--MTR.H-W.H-RET-MEA.VF-,STO.EL-SCC---IN-MEA.CUR-,DIST.HC--MTR.HC-W.HC-RET-MEA.T-,STO.EL-INV---OUT-MEA.VOLT-,STO.EL-INV----MEA.VOLT-,STO.EL-SCC----MEA.VOLT-,STO.EL-SCC----CALC.POW.EL-,GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-,ZONE---AIR.ID--MEA.T-,ODC---AIR.OD--CALC.T-,GEN.H--MTR.H-W.H-SUP-CALC.T-,STO.EL-INV---OUT-MEA.CUR-,STO.EL-INV---IN-MEA.CUR-,Kalt_oben------,DIST.HC--MTR.HC-W.HC-SUP-MEA.T-,GEN.C-HP--BRINE-SUP-CALC.T-,GEN.EL-PV----MEA.VOLT-,STO.EL-INV---IN-MEA.VOLT-,GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-,STO.C---W.C-BOT-MEA.T-,GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-,GEN.HC-HP--R410a--CALC.COP.virt-,GEN.EL-PV----MEA.CUR-,GEN.H-HP--W.H-SUP-MEA.T-,GEN.C-HP--BRINE-RET-CALC.T-,STO.EL-INV---IN-MEA.POW.EL-,ODC----HOR-MEA.GLIR-CALC,Warm_unten------,GEN.HC-HP.COMP--R410a--CALC.POW.EL-,Warm_oben------,GEN.H--MTR.H-W.H-RET-MEA.T-
2022-02-24 00:00:00,5.85,0.2,12.71,0.0,328.33,15.03,,0.0,118.63,0.0,15.24,238.37,56.33,56.4,0.0,,14.39,6.83,15.08,0.85,0.0,12.71,15.67,,4.69,3.0,,12.2,0.0,0.0,0.0,,,0.0,0.0,15.71,0.0,16.13,15.03
2022-02-24 00:15:00,6.0,0.2,12.71,0.0,326.63,14.95,,0.0,8.0,0.0,15.11,238.4,56.3,56.41,0.0,,14.29,6.97,,0.83,0.0,12.75,15.5,,4.67,3.0,,12.2,0.0,0.0,0.0,,,0.0,0.0,,0.0,15.98,
2022-02-24 00:30:00,5.75,0.19,12.7,0.0,326.63,14.82,,0.0,2.53,0.0,15.03,238.4,56.3,56.38,0.0,,14.22,7.0,,0.83,0.0,12.75,15.48,,4.65,3.0,,12.2,0.0,0.0,0.0,,,0.0,10.97,,0.0,15.94,
2022-02-24 00:45:00,5.8,0.19,12.71,0.0,326.41,14.73,,0.0,0.0,0.0,14.95,238.34,56.3,56.38,0.0,,14.14,6.96,,0.83,0.0,12.72,15.36,,4.64,3.0,,12.2,0.0,0.0,0.0,,,0.0,0.0,,0.0,15.86,
2022-02-24 01:00:00,5.35,0.2,12.77,0.0,327.56,14.65,,0.0,63.33,0.0,14.84,238.33,56.3,56.37,0.0,,14.06,6.68,14.66,0.85,0.0,12.73,15.23,,4.58,3.0,,12.2,0.0,0.0,0.0,,,0.0,0.0,15.3,0.0,15.68,14.59
2022-02-24 01:15:00,5.0,0.2,12.76,0.0,327.07,14.57,,0.0,78.07,0.0,14.69,238.17,56.3,56.37,0.0,,13.96,6.44,14.61,0.84,0.0,12.75,15.07,,4.6,3.0,,12.2,0.0,0.0,0.0,,,0.0,0.0,,0.0,15.55,14.48
2022-02-24 01:30:00,5.2,0.2,12.74,0.0,326.13,14.45,,0.0,3.07,0.0,14.59,237.9,56.3,56.35,0.0,,13.86,6.4,,0.83,0.0,12.76,15.01,,4.62,3.0,,12.2,0.0,0.0,0.0,,,0.0,0.0,,0.0,15.52,
2022-02-24 01:45:00,5.0,0.2,12.77,0.0,326.27,14.37,,0.0,0.0,0.0,14.54,238.13,56.3,56.34,0.0,,13.76,6.29,,0.83,0.0,12.74,14.93,,4.59,3.0,,12.2,0.0,0.0,0.0,,,0.0,0.0,,0.0,15.46,
2022-02-24 02:00:00,5.0,0.19,12.78,0.0,326.23,14.28,,0.0,0.0,0.0,14.43,238.07,56.3,56.34,0.0,,13.67,6.08,,0.83,0.0,12.75,14.82,,4.58,3.0,,12.2,0.0,0.0,0.0,,,0.0,0.0,14.96,0.0,15.32,
2022-02-24 02:15:00,5.1,0.23,12.79,0.23,327.2,14.19,14.37,0.0,211.77,0.0,14.27,238.3,56.27,56.32,0.0,,13.57,5.91,14.22,0.94,0.0,12.78,14.63,11.43,4.62,3.0,,12.2,0.0,0.42,0.0,14.62,12.81,0.0,0.0,,0.03,15.17,14.07
2022-02-24 02:30:00,4.85,0.27,12.73,0.4,326.87,14.1,14.33,0.0,129.97,0.0,14.37,238.5,56.13,56.21,0.0,,13.45,6.02,16.82,1.14,0.0,12.78,15.1,11.47,4.66,3.0,,12.2,0.0,1.08,0.0,16.49,-0.35,0.0,0.0,,0.09,15.46,14.1
2022-02-24 02:45:00,4.8,0.23,12.56,0.44,327.53,14.1,14.32,0.0,129.53,0.0,14.37,238.47,56.2,56.27,0.0,,13.34,6.1,14.47,0.99,0.0,12.79,14.89,11.67,4.67,3.0,,12.12,0.0,0.73,0.0,14.78,11.67,0.0,0.0,,0.06,15.26,14.15
2022-02-24 03:00:00,4.95,0.24,12.42,0.21,326.5,14.1,14.4,0.0,69.4,0.0,14.51,238.3,56.14,56.22,0.0,,13.28,6.04,16.37,1.01,0.0,12.78,15.31,11.6,4.63,3.0,,11.97,0.0,0.57,0.0,15.96,1.63,0.0,0.0,14.85,0.05,15.51,14.24
2022-02-24 03:15:00,4.8,0.19,12.16,0.0,326.47,14.1,,0.0,4.13,0.0,14.37,238.4,56.21,56.3,0.0,,13.21,5.8,,0.83,0.0,12.78,14.78,,4.61,3.0,,11.71,0.0,0.0,0.0,,,0.0,0.0,,0.0,15.08,
2022-02-24 03:30:00,4.5,0.2,12.07,0.0,326.2,14.07,,0.0,1.33,0.0,14.14,238.53,56.2,56.31,0.0,,13.16,5.53,,0.83,0.0,12.77,14.55,,4.6,3.0,,11.6,0.0,0.0,0.0,,,0.0,0.0,,0.0,15.02,
2022-02-24 03:45:00,4.3,0.19,12.06,0.0,326.07,13.95,,0.0,0.0,0.0,14.03,238.4,56.2,56.31,0.0,,13.09,5.24,,0.83,0.0,12.76,14.49,,4.58,3.0,,11.6,0.0,0.0,0.0,,,0.0,0.0,,0.0,14.99,
2022-02-24 04:00:00,4.15,0.2,12.11,0.0,326.7,13.86,,0.0,136.9,0.0,13.93,238.53,56.2,56.28,0.0,,13.01,5.01,13.79,0.86,0.0,12.76,14.34,,4.59,3.0,,11.6,0.0,0.0,0.0,,,0.0,0.0,14.42,0.0,14.9,13.68
2022-02-24 04:15:00,4.0,0.19,12.13,0.0,325.67,13.74,,0.0,4.0,0.0,13.85,238.3,56.2,56.28,0.0,,12.91,4.88,,0.83,0.0,12.73,14.29,,4.59,3.0,,11.6,0.0,0.0,0.0,,,0.0,0.0,,0.0,14.83,
2022-02-24 04:30:00,3.9,0.2,12.17,0.0,325.5,13.63,,0.0,0.13,0.0,13.73,238.33,56.2,56.28,0.0,,12.8,4.8,,0.83,0.0,12.7,14.18,,4.6,3.0,,11.6,0.0,0.0,0.0,,,0.0,0.0,,0.0,14.7,
2022-02-24 04:45:00,3.9,0.2,12.17,0.0,325.57,13.54,,0.0,0.0,0.0,13.62,238.43,56.21,56.28,0.0,,12.71,4.75,,0.83,0.0,12.7,14.05,,4.59,3.0,,11.6,0.0,0.0,0.0,,,0.0,0.0,,0.0,14.58,
2022-02-24 05:00:00,3.9,0.2,12.18,0.0,326.63,13.43,,0.0,150.73,0.0,13.47,238.17,56.19,56.26,0.0,,12.62,4.6,13.39,0.85,0.0,12.68,13.89,,4.6,3.0,,11.6,0.0,0.0,0.0,,,0.0,0.0,13.97,0.0,14.42,13.28
2022-02-24 05:15:00,4.0,0.19,12.19,0.0,325.17,13.32,,0.0,4.0,0.0,13.36,238.07,56.2,56.25,0.0,,12.51,4.52,,0.83,0.0,12.69,13.8,,4.62,3.0,,11.6,0.0,0.0,0.0,,,0.0,9.6,,0.0,14.36,
2022-02-24 05:30:00,4.05,0.19,12.22,0.0,325.03,13.2,,0.0,0.67,0.0,13.26,238.07,56.17,56.25,0.0,,12.42,4.5,,0.83,0.0,12.69,13.73,,4.61,3.0,,11.6,0.0,0.0,0.0,,,0.0,0.0,,0.0,14.29,
2022-02-24 05:45:00,3.8,0.19,12.22,0.0,325.17,13.1,,0.0,0.0,0.0,13.17,238.17,56.12,56.23,0.0,,12.33,4.46,,0.84,0.0,12.68,13.6,,4.61,3.0,,11.6,0.0,0.0,0.0,,,0.0,0.0,,0.0,14.14,
2022-02-24 06:00:00,3.85,0.2,12.21,0.0,326.37,13.01,,0.0,134.1,0.0,13.05,238.33,56.12,56.21,0.0,,12.23,4.32,12.92,0.86,0.0,12.66,13.44,,4.64,3.0,,11.6,0.0,0.0,0.0,,,0.0,0.0,13.53,0.0,14.01,12.84
2022-02-24 06:15:00,3.9,0.2,12.23,0.0,325.37,12.89,,0.0,4.27,0.0,12.9,238.23,56.13,56.21,0.0,,12.13,4.22,,0.83,0.0,12.67,13.31,,6.21,3.0,,11.6,0.0,0.0,0.0,,,0.0,0.0,,0.0,13.86,
2022-02-24 06:30:00,3.7,0.2,12.23,0.0,325.27,12.77,,0.0,1.47,0.0,12.83,238.63,56.13,56.19,0.0,,12.03,4.05,,0.83,0.0,12.64,13.27,,8.49,3.0,,11.6,0.0,0.0,0.0,,,0.0,0.0,,0.0,13.82,
2022-02-24 06:45:00,4.0,0.19,12.25,0.0,325.43,12.68,,0.0,0.0,0.0,12.72,238.6,56.12,56.19,0.0,,11.94,3.93,,0.83,0.0,12.62,13.14,,32.03,3.0,,11.6,0.0,0.0,0.0,,,0.0,0.0,,0.0,13.7,
2022-02-24 07:00:00,3.35,0.2,12.26,0.0,326.6,12.6,,0.0,147.7,0.01,12.62,238.67,56.08,56.2,0.0,,11.83,3.9,12.49,0.85,0.0,12.62,13.01,,89.52,3.0,,11.6,0.0,0.0,0.01,,,0.0,0.0,13.11,0.0,13.55,12.39
2022-02-24 07:15:00,3.3,0.2,12.24,0.0,325.37,12.46,,0.0,4.73,0.0,12.47,238.5,56.03,56.2,0.0,,11.74,3.99,,0.84,0.0,12.61,12.89,,109.85,3.0,,11.6,0.0,0.0,0.0,,,0.0,0.0,,0.0,13.44,
2022-02-24 07:30:00,3.6,0.2,12.24,0.0,325.2,12.34,,0.0,1.87,0.19,12.41,238.7,56.04,56.19,0.01,,11.66,3.96,,0.83,0.0,12.57,12.83,,82.45,3.0,,11.6,0.0,0.0,0.15,,,0.0,5.6,,0.0,13.39,
2022-02-24 07:45:00,3.7,0.2,12.23,0.0,325.2,12.25,,10.13,0.0,0.51,12.31,238.37,56.08,56.22,0.03,,11.58,3.9,,0.83,0.0,12.56,12.73,,93.1,3.0,,11.6,0.0,0.0,0.31,,,0.0,18.53,,0.0,13.27,
2022-02-24 08:00:00,3.7,0.2,12.22,0.0,326.03,12.15,,21.33,146.4,1.16,12.22,238.57,56.13,56.27,0.07,,11.49,3.99,12.11,0.85,0.0,12.55,12.6,,107.22,3.0,,11.6,0.0,0.0,0.62,,,0.0,35.4,12.71,0.0,13.13,12.0
2022-02-24 08:15:00,3.9,0.2,12.23,0.0,325.0,12.06,,33.13,5.57,2.24,12.08,238.77,56.22,56.38,0.13,,11.42,4.4,,0.83,0.0,12.54,12.46,,120.85,3.0,,11.6,0.0,0.0,1.05,,,0.0,71.47,,0.0,13.01,
2022-02-24 08:30:00,4.05,0.2,12.21,0.0,324.87,11.94,,40.55,2.27,2.77,12.0,238.73,56.3,56.47,0.16,,11.4,4.81,,0.84,0.0,12.54,12.41,,122.71,3.07,,11.6,0.0,0.0,1.31,,,0.0,89.07,,0.0,12.96,
2022-02-24 08:45:00,4.3,0.2,12.2,0.0,324.97,11.86,,40.53,0.0,2.87,11.95,238.73,56.36,56.51,0.16,,11.44,5.26,,0.83,0.0,12.53,12.34,,120.3,3.03,,11.6,0.0,0.0,1.34,,,0.0,80.6,,0.0,12.89,
2022-02-24 09:00:00,5.05,0.2,12.21,0.0,325.8,11.8,,56.93,113.2,4.09,11.87,238.6,56.48,56.64,0.23,,11.55,5.73,11.8,0.85,0.0,12.52,12.2,,121.41,3.13,,11.6,0.0,0.0,1.92,,,0.0,122.07,12.4,0.0,12.73,11.66
2022-02-24 09:15:00,6.0,0.2,12.21,0.0,324.9,11.7,,67.6,38.6,5.43,11.79,238.93,56.69,56.86,0.31,,11.62,6.48,11.72,0.84,0.0,12.52,12.08,,122.25,3.4,,11.6,0.0,0.0,2.52,,,0.0,178.07,,0.0,12.64,11.56
