Displayname,WS.DWD-----MEA.T-,STO.EL-INV---OUT-MEA.POW.EL-,Kalt_unten------,GEN.HC-HP--R410a--CALC.POW.H-,DIST.HC--MTR.HC-W.HC-RET-MEA.VF-,STO.H---W.H-BOT-MEA.T-,GEN.H-HP--W.H-RET-MEA.T-,ODC----VER-MEA.GLIR-CALC,GEN.H--MTR.H-W.H-RET-MEA.VF-,STO.EL-SCC---IN-MEA.CUR-,DIST.HC--MTR.HC-W.HC-RET-MEA.T-,STO.EL-INV---OUT-MEA.VOLT-,STO.EL-INV----MEA.VOLT-,STO.EL-SCC----MEA.VOLT-,STO.EL-SCC----CALC.POW.EL-,GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-,ZONE---AIR.ID--MEA.T-,ODC---AIR.OD--CALC.T-,GEN.H--MTR.H-W.H-SUP-CALC.T-,STO.EL-INV---OUT-MEA.CUR-,STO.EL-INV---IN-MEA.CUR-,Kalt_oben------,DIST.HC--MTR.HC-W.HC-SUP-MEA.T-,GEN.C-HP--BRINE-SUP-CALC.T-,GEN.EL-PV----MEA.VOLT-,STO.EL-INV---IN-MEA.VOLT-,GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-,STO.C---W.C-BOT-MEA.T-,GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-,GEN.HC-HP--R410a--CALC.COP.virt-,GEN.EL-PV----MEA.CUR-,GEN.H-HP--W.H-SUP-MEA.T-,GEN.C-HP--BRINE-RET-CALC.T-,STO.EL-INV---IN-MEA.POW.EL-,ODC----HOR-MEA.GLIR-CALC,Warm_unten------,GEN.HC-HP.COMP--R410a--CALC.POW.EL-,Warm_oben------,GEN.H--MTR.H-W.H-RET-MEA.T-
2022-08-27 00:00:00,18.3,0.12,14.76,0.0,-0.5,38.1,,0.0,0.0,0.0,,237.97,56.55,56.56,0.0,,26.04,19.3,,0.51,0.0,17.16,,,5.3,4.0,,14.0,0.0,0.0,0.0,,,0.0,0.0,38.8,0.0,40.5,
2022-08-27 00:15:00,18.3,0.12,14.8,0.0,-0.5,38.04,,0.0,0.0,0.0,,237.97,56.55,56.56,0.0,,25.92,19.3,,0.51,0.0,17.2,,,5.32,4.0,,14.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,40.46,
2022-08-27 00:30:00,18.45,0.12,14.79,0.0,-0.67,38.0,,0.0,0.0,0.0,,237.97,56.55,56.56,0.0,,25.81,19.3,,0.51,0.0,17.25,,,5.31,4.0,,14.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,40.4,
2022-08-27 00:45:00,18.5,0.12,14.83,0.0,-1.1,37.91,,0.0,0.0,0.0,,237.93,56.54,56.56,0.0,,25.7,19.3,,0.51,0.0,17.28,,,5.28,4.0,,14.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,40.35,
2022-08-27 01:00:00,18.35,0.12,14.86,0.0,-0.96,37.9,,0.0,0.0,0.0,,237.85,56.48,56.56,0.0,,25.58,19.31,,0.52,0.0,17.32,,,5.21,4.0,,14.08,0.0,0.0,0.0,,,0.0,0.0,38.61,0.0,40.3,
2022-08-27 01:15:00,18.3,0.12,14.86,0.0,-0.7,37.81,,0.0,0.0,0.0,,237.87,56.47,56.53,0.0,,25.48,19.38,,0.51,0.0,17.35,,,5.22,4.0,,14.1,0.0,0.0,0.0,,,0.0,0.0,,0.0,40.24,
2022-08-27 01:30:00,18.3,0.12,14.87,0.0,-0.6,37.8,,0.0,0.0,0.0,,237.93,56.47,56.53,0.0,,25.38,19.27,,0.51,0.0,17.43,,,5.22,4.0,,14.1,0.0,0.0,0.0,,,0.0,0.0,,0.0,40.2,
2022-08-27 01:45:00,18.3,0.12,14.91,0.0,-0.77,37.71,,0.0,0.0,0.0,,237.93,56.47,56.53,0.0,,25.26,19.2,,0.52,0.0,17.47,,,5.23,4.0,,14.1,0.0,0.0,0.0,,,0.0,0.0,,0.0,40.19,
2022-08-27 02:00:00,18.25,0.12,14.93,0.0,-0.53,37.7,,0.0,0.0,0.0,,237.93,56.47,56.53,0.0,,25.15,19.16,,0.51,0.0,17.5,,,5.23,4.0,,14.1,0.0,0.0,0.0,,,0.0,0.0,38.41,0.0,40.14,
2022-08-27 02:15:00,18.1,0.12,14.96,0.0,-0.7,37.62,,0.0,0.0,0.0,,237.9,56.47,56.53,0.0,,25.06,19.1,,0.51,0.0,17.53,,,5.22,4.0,,14.15,0.0,0.0,0.0,,,0.0,0.0,,0.0,40.05,
