Displayname,WS.DWD-----MEA.T-,STO.EL-INV---OUT-MEA.POW.EL-,Kalt_unten------,GEN.HC-HP--R410a--CALC.POW.H-,DIST.HC--MTR.HC-W.HC-RET-MEA.VF-,STO.H---W.H-BOT-MEA.T-,GEN.H-HP--W.H-RET-MEA.T-,ODC----VER-MEA.GLIR-CALC,GEN.H--MTR.H-W.H-RET-MEA.VF-,STO.EL-SCC---IN-MEA.CUR-,DIST.HC--MTR.HC-W.HC-RET-MEA.T-,STO.EL-INV---OUT-MEA.VOLT-,STO.EL-INV----MEA.VOLT-,STO.EL-SCC----MEA.VOLT-,STO.EL-SCC----CALC.POW.EL-,GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-,ZONE---AIR.ID--MEA.T-,ODC---AIR.OD--CALC.T-,GEN.H--MTR.H-W.H-SUP-CALC.T-,STO.EL-INV---OUT-MEA.CUR-,STO.EL-INV---IN-MEA.CUR-,Kalt_oben------,DIST.HC--MTR.HC-W.HC-SUP-MEA.T-,GEN.C-HP--BRINE-SUP-CALC.T-,GEN.EL-PV----MEA.VOLT-,STO.EL-INV---IN-MEA.VOLT-,GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-,STO.C---W.C-BOT-MEA.T-,GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-,GEN.HC-HP--R410a--CALC.COP.virt-,GEN.EL-PV----MEA.CUR-,GEN.H-HP--W.H-SUP-MEA.T-,GEN.C-HP--BRINE-RET-CALC.T-,STO.EL-INV---IN-MEA.POW.EL-,ODC----HOR-MEA.GLIR-CALC,Warm_unten------,GEN.HC-HP.COMP--R410a--CALC.POW.EL-,Warm_oben------,GEN.H--MTR.H-W.H-RET-MEA.T-
2023-02-01 00:00:00,4.25,0.57,12.88,2.92,46.5,23.11,21.76,0.0,483.6,0.0,19.34,238.0,55.38,55.44,0.0,0.3,14.23,5.4,1.13,2.4,0.0,13.64,24.63,4.18,6.25,3.0,2.75,12.3,663.53,6.15,0.0,26.21,1.62,0.0,0.0,25.25,0.48,25.54,21.64
2023-02-01 00:15:00,4.2,0.59,12.89,2.8,-0.57,23.42,24.13,0.0,440.97,0.0,,238.0,55.21,55.27,0.0,-3.08,14.34,5.27,1.12,2.47,0.0,13.63,,1.25,6.19,3.0,-0.19,12.3,638.5,5.48,0.0,29.14,-0.49,0.0,0.0,,0.5,28.21,24.03
2023-02-01 00:30:00,4.55,0.38,12.87,1.56,-0.83,24.53,24.07,0.0,268.8,0.0,,238.23,55.4,55.45,0.0,-2.67,14.31,5.09,1.18,1.62,0.0,13.61,,1.27,6.19,3.0,0.11,12.3,383.2,3.05,0.0,29.13,-0.08,0.0,0.0,,0.28,29.47,24.29
2023-02-01 00:45:00,5.0,0.12,12.88,0.0,-0.8,25.3,,0.0,4.03,0.0,,238.9,55.76,55.8,0.0,,14.19,5.0,,0.51,0.0,13.61,,,6.24,3.13,,12.3,4.03,0.0,0.0,,,0.0,0.0,,0.0,29.6,
2023-02-01 01:00:00,5.2,0.12,12.85,0.0,70.58,25.16,,0.0,0.46,0.0,15.61,238.92,55.78,55.84,0.0,,14.04,5.0,,0.5,0.0,13.61,23.62,,6.25,3.0,,12.3,0.46,0.0,0.0,,,0.0,0.0,24.57,0.0,29.5,
2023-02-01 01:15:00,5.3,0.12,12.85,0.0,83.8,24.53,,0.0,5.17,0.0,17.03,238.93,55.79,55.84,0.0,,13.99,5.07,,0.51,0.0,13.61,27.37,,6.23,3.03,,12.3,0.0,0.0,0.0,,,0.0,0.0,,0.0,29.37,
2023-02-01 01:30:00,4.75,0.12,12.88,0.0,88.13,23.14,,0.0,7.73,0.0,19.6,238.93,55.78,55.84,0.0,,14.1,5.13,,0.51,0.0,13.61,27.39,,6.2,3.07,,12.3,0.0,0.0,0.0,,,0.0,0.0,,0.0,29.15,
2023-02-01 01:45:00,4.5,0.13,12.89,0.06,31.33,21.44,,0.0,100.97,0.0,19.58,238.83,55.78,55.84,0.0,,14.32,5.2,1.77,0.55,0.0,13.63,27.12,,6.19,3.03,,12.3,0.0,0.0,0.0,,,0.0,19.33,,0.0,28.74,17.87
2023-02-01 02:00:00,4.7,0.34,12.9,1.45,-0.9,24.41,22.88,0.0,276.73,0.0,,238.43,55.46,55.53,0.0,0.59,14.47,5.29,1.18,1.45,0.0,13.64,,4.01,6.19,3.07,2.85,12.3,362.2,3.07,0.0,27.0,1.52,0.0,0.0,25.96,0.24,27.24,22.86
2023-02-01 02:15:00,4.6,0.12,12.91,0.0,-0.6,24.9,,0.0,4.0,0.0,,238.93,55.76,55.8,0.0,,14.45,5.2,,0.51,0.0,13.64,,,6.2,3.03,,12.3,4.0,0.0,0.0,,,0.0,18.2,,0.0,27.33,
