;wetterstation_exp15;P_Inv_out_exp15;T_1_exp15;HP_Pel_exp15;HM4_VF_exp15;Hot_Tank_exp15;WP_senke_ein_exp15;Pyra1_exp15;HM10_VF_exp15;SCC_Cur_in_exp15;HM4_RET_exp15;U_grid_exp15;U_bat_exp15;SCC_vol_out_exp15;P_PV_exp15;HM1_RET_exp15;Zone_exp15;T_amb_exp15;HM10_RET_exp15;Inv_Cur_Out;PV_Pel_exp15;Inv_Cur_In;T_4_exp15;HM4_SUP_exp15;WP_Quelle_ein_exp15;U_PV_exp15;Inv_Volt_In_exp15;HM1_SUP_exp15;Cold_Tank_exp15;HM1_VF_exp15;COP_exp15;PV_Cur_exp15;WP_senke_aus_exp15;WP_Quelle_aus_exp15;P_Inv_loading_exp15;Pyra2_exp15;T_2_exp15;Pel_exp15;T_3_exp15;HM10_SUP_exp15
Displayname;WS.DWD-----MEA.T-;STO.EL-INV---OUT-MEA.POW.EL-;Kalt_unten------;GEN.HC-HP--R410a--CALC.POW.H-;DIST.HC--MTR.HC-W.HC-RET-MEA.VF-;STO.H---W.H-BOT-MEA.T-;GEN.H-HP--W.H-RET-MEA.T-;ODC----VER-MEA.GLIR-CALC;GEN.H--MTR.H-W.H-RET-MEA.VF-;STO.EL-SCC---IN-MEA.CUR-;DIST.HC--MTR.HC-W.HC-RET-MEA.T-;STO.EL-INV---OUT-MEA.VOLT-;STO.EL-INV----MEA.VOLT-;STO.EL-SCC----MEA.VOLT-;STO.EL-SCC----CALC.POW.EL-;GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-;ZONE---AIR.ID--MEA.T-;ODC---AIR.OD--CALC.T-;GEN.H--MTR.H-W.H-SUP-CALC.T-;STO.EL-INV---OUT-MEA.CUR-;GEN.EL-PV----CALC.POW.EL-;STO.EL-INV---IN-MEA.CUR-;Kalt_oben------;DIST.HC--MTR.HC-W.HC-SUP-MEA.T-;GEN.C-HP--BRINE-SUP-CALC.T-;GEN.EL-PV----MEA.VOLT-;STO.EL-INV---IN-MEA.VOLT-;GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-;STO.C---W.C-BOT-MEA.T-;GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-;GEN.HC-HP--R410a--CALC.COP.virt-;GEN.EL-PV----MEA.CUR-;GEN.H-HP--W.H-SUP-MEA.T-;GEN.C-HP--BRINE-RET-CALC.T-;STO.EL-INV---IN-MEA.POW.EL-;ODC----HOR-MEA.GLIR-CALC;Warm_unten------;GEN.HC-HP.COMP--R410a--CALC.POW.EL-;Warm_oben------;GEN.H--MTR.H-W.H-RET-MEA.T-
22.06.2021 09:30;17.45;0.12;;0;-1;32.81;-99;;0;2.6;-99;237.93;56.86;56.97;0.15;-99;22.23;19.4;-99;0.5;0.15;0;;-99;-99;109.9;4;-99;20.6;0;0;1.34;-99;-99;0;;;0;;-99
22.06.2021 09:45;17.7;0.12;;0;-0.83;32.8;-99;;0;2.87;-99;237.9;56.89;57.01;0.16;-99;22.27;19.4;-99;0.51;0.16;0;;-99;-99;110.81;4;-99;20.6;0;0;1.47;-99;-99;0;;;0;;-99
22.06.2021 10:00;17.85;0.12;;0;-0.63;32.8;-99;;0;3.14;-99;237.87;56.91;57.03;0.18;-99;22.31;19.33;-99;0.5;0.18;0;;-99;-99;112.03;4;-99;20.6;0;0;1.61;-99;-99;0;;;0;;-99
22.06.2021 10:15;17.8;0.12;;0;-0.77;32.8;-99;;0;4.68;-99;237.9;57.03;57.15;0.27;-99;22.35;19.54;-99;0.51;0.27;0;;-99;-99;113.39;4;-99;20.6;0;0;2.37;-99;-99;0;;;0;;-99
22.06.2021 10:30;17.85;0.12;;0;-0.73;32.75;-99;;0;4.58;-99;237.97;57.07;57.19;0.26;-99;22.39;19.89;-99;0.5;0.26;0;;-99;-99;112.41;4;-99;20.6;0;0;2.35;-99;-99;0;;;0;;-99
22.06.2021 10:45;17.9;0.12;;0;-0.83;32.7;-99;;0;3.09;-99;237.9;56.98;57.11;0.18;-99;22.43;19.81;-99;0.5;0.18;0;;-99;-99;111.28;4;-99;20.6;0;0;1.59;-99;-99;0;;;0;;-99
22.06.2021 11:00;18.15;0.12;;0;-1;32.7;-99;;0;3.73;-99;237.97;57.05;57.15;0.21;-99;22.48;19.55;-99;0.51;0.21;0;;-99;-99;112.89;4;-99;20.6;0;0;1.88;-99;-99;0;;;0;;-99
22.06.2021 11:15;18.2;0.12;;0;-0.77;32.62;-99;;0;5.84;-99;237.93;57.17;57.31;0.33;-99;22.51;19.52;-99;0.5;0.33;0;;-99;-99;115.38;4;-99;20.6;0;0;2.89;-99;-99;0;;;0;;-99
22.06.2021 11:30;18.6;0.12;;0;-0.7;32.6;-99;;0;6.07;-99;237.9;57.29;57.44;0.35;-99;22.54;19.82;-99;0.51;0.35;0;;-99;-99;112.76;4;-99;20.6;0;0;3.09;-99;-99;0;;;0;;-99
