;wetterstation_exp15;P_Inv_out_exp15;T_1_exp15;HP_Pel_exp15;HM4_VF_exp15;Hot_Tank_exp15;WP_senke_ein_exp15;Pyra1_exp15;HM10_VF_exp15;SCC_Cur_in_exp15;HM4_RET_exp15;U_grid_exp15;U_bat_exp15;SCC_vol_out_exp15;P_PV_exp15;HM1_RET_exp15;Zone_exp15;T_amb_exp15;HM10_RET_exp15;Inv_Cur_Out;PV_Pel_exp15;Inv_Cur_In;T_4_exp15;HM4_SUP_exp15;WP_Quelle_ein_exp15;U_PV_exp15;Inv_Volt_In_exp15;HM1_SUP_exp15;Cold_Tank_exp15;HM1_VF_exp15;COP_exp15;PV_Cur_exp15;WP_senke_aus_exp15;WP_Quelle_aus_exp15;P_Inv_loading_exp15;Pyra2_exp15;T_2_exp15;Pel_exp15;T_3_exp15;HM10_SUP_exp15
Displayname;WS.DWD-----MEA.T-;STO.EL-INV---OUT-MEA.POW.EL-;Kalt_unten------;GEN.HC-HP--R410a--CALC.POW.H-;DIST.HC--MTR.HC-W.HC-RET-MEA.VF-;STO.H---W.H-BOT-MEA.T-;GEN.H-HP--W.H-RET-MEA.T-;ODC----VER-MEA.GLIR-CALC;GEN.H--MTR.H-W.H-RET-MEA.VF-;STO.EL-SCC---IN-MEA.CUR-;DIST.HC--MTR.HC-W.HC-RET-MEA.T-;STO.EL-INV---OUT-MEA.VOLT-;STO.EL-INV----MEA.VOLT-;STO.EL-SCC----MEA.VOLT-;STO.EL-SCC----CALC.POW.EL-;GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-;ZONE---AIR.ID--MEA.T-;ODC---AIR.OD--CALC.T-;GEN.H--MTR.H-W.H-SUP-CALC.T-;STO.EL-INV---OUT-MEA.CUR-;GEN.EL-PV----CALC.POW.EL-;STO.EL-INV---IN-MEA.CUR-;Kalt_oben------;DIST.HC--MTR.HC-W.HC-SUP-MEA.T-;GEN.C-HP--BRINE-SUP-CALC.T-;GEN.EL-PV----MEA.VOLT-;STO.EL-INV---IN-MEA.VOLT-;GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-;STO.C---W.C-BOT-MEA.T-;GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-;GEN.HC-HP--R410a--CALC.COP.virt-;GEN.EL-PV----MEA.CUR-;GEN.H-HP--W.H-SUP-MEA.T-;GEN.C-HP--BRINE-RET-CALC.T-;STO.EL-INV---IN-MEA.POW.EL-;ODC----HOR-MEA.GLIR-CALC;Warm_unten------;GEN.HC-HP.COMP--R410a--CALC.POW.EL-;Warm_oben------;GEN.H--MTR.H-W.H-RET-MEA.T-
2022/11/18 00:00:00;9.00;0.38;14.94;1.63;500.50;22.42;22.68;0.00;394.63;0.00;22.63;238.30;55.93;55.96;0.00;8.37;19.38;9.40;21.91;1.58;0.00;0.00;15.10;23.65;11.31;6.18;4.00;11.65;14.20;349.33;3.05;0.00;24.63;9.34;0.00;0.00;23.76;0.24;23.86;22.42
2022/11/18 00:15:00;9.00;0.48;14.93;2.34;474.50;22.43;24.28;0.00;388.97;0.00;24.76;238.17;55.65;55.67;0.00;2.32;19.33;9.40;22.09;2.02;0.00;0.00;15.11;27.24;6.66;6.15;4.00;5.39;14.20;520.30;4.73;0.00;28.55;3.42;0.00;0.00;;0.37;25.53;24.24
2022/11/18 00:30:00;8.90;0.15;14.94;0.00;499.40;23.21;-99.00;0.00;48.17;0.00;24.48;238.60;55.95;55.96;0.00;-99.00;19.39;9.40;22.42;0.67;0.00;0.00;15.12;24.76;-99.00;6.14;4.00;-99.00;14.20;4.40;0.00;0.00;-99.00;-99.00;0.00;0.00;;0.00;24.43;24.29
2022/11/18 00:45:00;8.80;0.15;14.94;0.00;466.20;23.25;-99.00;0.00;46.27;0.00;23.35;238.57;55.96;55.97;0.00;-99.00;19.47;9.41;22.27;0.65;0.00;0.00;15.13;23.92;-99.00;6.14;4.00;-99.00;14.20;1.73;0.00;0.00;-99.00;-99.00;0.00;0.00;;0.00;24.28;23.08
2022/11/18 01:00:00;8.85;0.16;14.97;0.00;451.73;22.93;-99.00;0.00;197.04;0.00;23.03;238.62;55.95;55.97;0.00;-99.00;19.50;9.52;22.21;0.67;0.00;0.00;15.14;23.71;-99.00;6.17;4.00;-99.00;14.26;0.00;0.00;0.00;-99.00;-99.00;0.00;0.00;23.50;0.00;24.21;22.78
2022/11/18 01:15:00;9.00;0.16;14.98;0.00;486.37;22.73;-99.00;0.00;45.77;0.00;22.86;238.70;55.96;55.97;0.00;-99.00;19.48;9.60;22.23;0.65;0.00;0.00;15.16;23.52;-99.00;6.20;4.00;-99.00;14.30;0.00;0.00;0.00;-99.00;-99.00;0.00;0.00;;0.00;24.09;22.57
2022/11/18 01:30:00;9.00;0.15;15.00;0.00;462.43;22.50;-99.00;0.00;46.50;0.00;22.65;238.57;55.95;55.96;0.00;-99.00;19.45;9.72;22.22;0.66;0.00;0.00;15.18;23.24;-99.00;6.20;4.00;-99.00;14.30;0.00;0.00;0.00;-99.00;-99.00;0.00;0.00;;0.00;23.84;22.37
2022/11/18 01:45:00;9.00;0.16;15.02;0.00;524.96;22.27;-99.00;0.00;183.76;0.00;22.39;238.56;55.92;55.94;0.00;-99.00;19.42;9.92;22.21;0.68;0.00;0.00;15.19;22.92;-99.00;6.23;4.00;-99.00;14.30;0.00;0.00;0.00;-99.00;-99.00;0.00;0.00;;0.00;23.54;22.14
2022/11/18 02:00:00;9.00;0.58;15.00;3.17;499.64;22.11;22.97;0.00;506.25;0.00;22.96;238.00;55.48;55.51;0.00;4.05;19.36;9.97;21.69;2.46;0.00;0.00;15.19;24.94;8.06;6.20;4.00;6.71;14.30;662.18;6.46;0.00;27.44;4.69;0.00;0.00;23.51;0.48;24.39;22.67
