Displayname,Kalt_oben------,DIST.HC--MTR.HC-W.HC-SUP-MEA.T-,ODC----HOR-MEA.GLIR-CALC,STO.H---W.H-BOT-MEA.T-,GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-,GEN.HC-HP--R410a--CALC.POW.H-,GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-,STO.EL-SCC----CALC.POW.EL-,DIST.HC--MTR.HC-W.HC-RET-MEA.T-,GEN.EL-PV----MEA.VOLT-,GEN.HC-HP.COMP--R410a--CALC.POW.EL-,STO.EL-INV---IN-MEA.CUR-,STO.C---W.C-BOT-MEA.T-,STO.EL-INV---OUT-MEA.POW.EL-,GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-,ODC---AIR.OD--CALC.T-,Kalt_unten------,GEN.H-HP--W.H-RET-MEA.T-,WS.DWD-----MEA.T-,GEN.C-HP--BRINE-RET-CALC.T-,Warm_unten------,GEN.H--MTR.H-W.H-RET-MEA.T-,ODC----VER-MEA.GLIR-CALC,GEN.C-HP--BRINE-SUP-CALC.T-,STO.EL-SCC---IN-MEA.CUR-,ZONE---AIR.ID--MEA.T-,GEN.H--MTR.H-W.H-SUP-CALC.T-,STO.EL-INV---OUT-MEA.CUR-,GEN.HC-HP--R410a--CALC.COP.virt-,STO.EL-SCC----MEA.VOLT-,GEN.EL-PV----MEA.CUR-,STO.EL-INV----MEA.VOLT-,STO.EL-INV---OUT-MEA.VOLT-,GEN.H--MTR.H-W.H-RET-MEA.VF-,STO.EL-INV---IN-MEA.POW.EL-,GEN.H-HP--W.H-SUP-MEA.T-,Warm_oben------,STO.EL-INV---IN-MEA.VOLT-,DIST.HC--MTR.HC-W.HC-RET-MEA.VF-
2022-01-13 00:00:00,12.25,27.17,0.0,25.13,,0.0,0.0,0.0,25.49,5.04,0.0,3.01,10.5,0.15,,-0.1,11.06,,-3.5,,25.35,,0.0,,0.0,17.54,,0.67,0.0,57.46,0.0,57.31,233.4,0.0,0.69,,27.56,116.0,485.7
2022-01-13 00:05:00,12.23,26.96,0.0,24.96,,0.0,0.0,0.0,25.35,5.03,0.0,0.0,10.5,0.16,,-0.1,11.05,,,,,25.01,0.0,,0.0,17.5,24.47,0.67,0.0,56.93,0.0,56.86,238.1,13.8,0.0,,27.38,3.0,488.7
2022-01-13 00:10:00,12.25,26.67,0.0,24.85,,0.0,0.0,0.0,25.18,5.02,0.0,0.0,10.5,0.16,,-0.1,11.03,,-3.5,,,24.87,0.0,,0.0,17.46,24.39,0.66,0.0,56.86,0.0,56.81,238.2,26.3,0.0,,27.13,3.0,489.1
2022-01-13 00:15:00,12.24,26.43,0.0,24.7,,0.0,0.0,0.0,24.99,5.02,0.0,0.0,10.5,0.16,,-0.02,11.06,,,,,24.66,0.0,,0.0,17.42,24.21,0.67,0.0,56.82,0.0,56.75,238.1,27.8,0.0,,26.86,3.0,489.2
2022-01-13 00:20:00,12.24,26.13,0.0,24.55,,0.0,0.0,0.0,24.74,5.0,0.0,0.0,10.5,0.16,,0.0,11.06,,-3.4,,,24.46,0.0,,0.0,17.37,24.1,0.66,0.0,56.79,0.0,56.72,238.4,27.8,0.0,,26.6,3.0,488.6
2022-01-13 00:25:00,12.28,25.93,0.0,24.38,,0.0,0.0,0.0,24.53,4.98,0.0,0.0,10.5,0.16,,-0.06,11.03,,,,,24.23,0.0,,0.0,17.32,23.92,0.66,0.0,56.78,0.0,56.72,238.2,25.8,0.0,,26.4,3.0,439.9
2022-01-13 00:30:00,12.25,25.69,0.0,24.21,,0.0,0.0,0.0,24.32,4.97,0.0,0.0,10.5,0.16,,-0.14,11.03,,-3.3,,,,0.0,,0.0,17.26,,0.69,0.0,56.75,0.0,56.72,238.4,8.4,0.0,,26.22,3.0,488.2
2022-01-13 00:35:00,12.25,25.51,0.0,24.02,,0.0,0.0,0.0,24.16,4.97,0.0,0.0,10.5,0.16,,-0.2,11.02,,,,,,0.0,,0.0,17.19,,0.67,0.0,56.75,0.0,56.67,238.4,4.0,0.0,,26.04,3.0,487.6
2022-01-13 00:40:00,12.28,25.36,0.0,23.85,,0.0,0.0,0.0,23.98,4.96,0.0,0.0,10.5,0.16,,-0.2,11.08,,-2.7,,,,0.0,,0.0,17.12,,0.66,0.0,56.73,0.0,56.64,238.4,4.0,0.0,,25.87,3.0,488.2
2022-01-13 00:45:00,12.23,25.11,0.0,23.71,,0.18,0.0,0.0,23.83,4.95,0.01,0.0,10.5,0.19,,-0.2,11.08,,,,,23.64,0.0,,0.0,17.05,23.53,0.78,0.0,56.71,0.0,56.63,238.2,363.0,0.0,,25.66,3.0,489.1
