Displayname,Kalt_oben------,DIST.HC--MTR.HC-W.HC-SUP-MEA.T-,ODC----HOR-MEA.GLIR-CALC,STO.H---W.H-BOT-MEA.T-,GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-,GEN.HC-HP--R410a--CALC.POW.H-,GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-,STO.EL-SCC----CALC.POW.EL-,DIST.HC--MTR.HC-W.HC-RET-MEA.T-,GEN.EL-PV----MEA.VOLT-,GEN.HC-HP.COMP--R410a--CALC.POW.EL-,STO.EL-INV---IN-MEA.CUR-,STO.C---W.C-BOT-MEA.T-,STO.EL-INV---OUT-MEA.POW.EL-,GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-,ODC---AIR.OD--CALC.T-,Kalt_unten------,GEN.H-HP--W.H-RET-MEA.T-,WS.DWD-----MEA.T-,GEN.C-HP--BRINE-RET-CALC.T-,Warm_unten------,GEN.H--MTR.H-W.H-RET-MEA.T-,ODC----VER-MEA.GLIR-CALC,GEN.C-HP--BRINE-SUP-CALC.T-,STO.EL-SCC---IN-MEA.CUR-,ZONE---AIR.ID--MEA.T-,GEN.H--MTR.H-W.H-SUP-CALC.T-,STO.EL-INV---OUT-MEA.CUR-,GEN.HC-HP--R410a--CALC.COP.virt-,STO.EL-SCC----MEA.VOLT-,GEN.EL-PV----MEA.CUR-,STO.EL-INV----MEA.VOLT-,STO.EL-INV---OUT-MEA.VOLT-,GEN.H--MTR.H-W.H-RET-MEA.VF-,STO.EL-INV---IN-MEA.POW.EL-,GEN.H-HP--W.H-SUP-MEA.T-,Warm_oben------,STO.EL-INV---IN-MEA.VOLT-,DIST.HC--MTR.HC-W.HC-RET-MEA.VF-
2021-12-30 00:00:00,11.83,21.42,0.0,20.7,,0.0,0.0,0.0,20.71,5.04,0.0,0.0,10.2,0.16,,13.2,10.76,,14.4,,21.5,20.51,0.0,,0.0,19.8,20.45,0.66,0.0,56.44,0.0,56.38,237.9,125.5,0.0,,22.06,3.0,446.7
2021-12-30 00:05:00,11.81,21.42,0.0,20.61,,0.0,0.0,0.0,20.96,5.05,0.0,0.0,10.2,0.16,,13.2,10.8,,,,,20.66,0.0,,0.0,19.79,20.52,0.67,0.0,56.46,0.0,56.4,238.0,39.7,0.0,,21.99,3.0,346.0
2021-12-30 00:10:00,11.82,,0.0,20.6,,0.0,0.0,0.0,,5.07,0.0,0.0,10.2,0.15,,13.21,10.76,,14.3,,,,0.0,,0.0,19.78,,0.66,0.0,56.46,0.0,56.38,238.0,7.2,0.0,,21.95,3.0,-1.0
2021-12-30 00:15:00,11.82,21.27,0.0,20.6,,0.0,0.0,0.0,20.62,5.08,0.0,0.0,10.25,0.16,,13.3,10.79,,,,,20.38,0.0,,0.0,19.76,20.39,0.66,0.0,56.44,0.0,56.38,237.9,28.2,0.0,,21.92,3.1,426.3
2021-12-30 00:20:00,11.81,21.26,0.0,20.5,,0.0,0.0,0.0,20.84,5.07,0.0,0.0,10.3,0.16,,13.3,10.83,,14.2,,,20.56,0.0,,0.0,19.74,20.47,0.64,0.0,56.44,0.0,56.38,237.9,38.0,0.0,,21.84,3.0,351.6
2021-12-30 00:25:00,11.84,,0.0,20.5,,0.0,0.0,0.0,,5.05,0.0,0.0,10.3,0.15,,13.3,10.82,,,,,,0.0,,0.0,19.72,,0.62,0.0,56.46,0.0,56.38,238.2,7.3,0.0,,21.81,3.0,-1.0
2021-12-30 00:30:00,11.87,21.16,0.0,20.49,,0.0,0.0,0.0,20.52,5.02,0.0,0.0,10.3,0.16,,13.3,10.79,,13.6,,,20.35,0.0,,0.0,19.71,20.28,0.66,0.0,56.44,0.0,56.38,238.2,32.1,0.0,,21.82,3.0,429.6
2021-12-30 00:35:00,11.89,21.16,0.0,20.4,,0.0,0.0,0.0,20.72,5.01,0.0,0.0,10.3,0.16,,13.3,10.82,,,,,20.46,0.0,,0.0,19.7,20.33,0.66,0.0,56.44,0.0,56.38,237.9,42.1,0.0,,21.71,3.0,388.4
2021-12-30 00:40:00,11.89,,0.0,20.4,,0.0,0.0,0.0,,5.02,0.0,0.0,10.3,0.16,,13.3,10.81,,13.3,,,20.4,0.0,,0.0,19.67,20.19,0.64,0.0,56.44,0.0,56.38,238.0,10.7,0.0,,21.67,3.1,-0.4
2021-12-30 00:45:00,11.87,21.03,0.0,20.38,,0.0,0.0,0.0,20.45,4.97,0.0,0.0,10.3,0.16,,13.3,10.86,,,,,20.24,0.0,,0.0,19.65,20.19,0.66,0.0,56.44,0.0,56.38,237.9,28.3,0.0,,21.62,3.0,438.7
