Displayname,Kalt_oben------,DIST.HC--MTR.HC-W.HC-SUP-MEA.T-,ODC----HOR-MEA.GLIR-CALC,STO.H---W.H-BOT-MEA.T-,GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-,GEN.HC-HP--R410a--CALC.POW.H-,GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-,STO.EL-SCC----CALC.POW.EL-,DIST.HC--MTR.HC-W.HC-RET-MEA.T-,GEN.EL-PV----MEA.VOLT-,GEN.HC-HP.COMP--R410a--CALC.POW.EL-,STO.EL-INV---IN-MEA.CUR-,STO.C---W.C-BOT-MEA.T-,STO.EL-INV---OUT-MEA.POW.EL-,GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-,ODC---AIR.OD--CALC.T-,Kalt_unten------,GEN.H-HP--W.H-RET-MEA.T-,WS.DWD-----MEA.T-,GEN.C-HP--BRINE-RET-CALC.T-,Warm_unten------,GEN.H--MTR.H-W.H-RET-MEA.T-,ODC----VER-MEA.GLIR-CALC,GEN.C-HP--BRINE-SUP-CALC.T-,STO.EL-SCC---IN-MEA.CUR-,ZONE---AIR.ID--MEA.T-,GEN.H--MTR.H-W.H-SUP-CALC.T-,STO.EL-INV---OUT-MEA.CUR-,GEN.HC-HP--R410a--CALC.COP.virt-,STO.EL-SCC----MEA.VOLT-,GEN.EL-PV----MEA.CUR-,STO.EL-INV----MEA.VOLT-,STO.EL-INV---OUT-MEA.VOLT-,GEN.H--MTR.H-W.H-RET-MEA.VF-,STO.EL-INV---IN-MEA.POW.EL-,GEN.H-HP--W.H-SUP-MEA.T-,Warm_oben------,STO.EL-INV---IN-MEA.VOLT-,DIST.HC--MTR.HC-W.HC-RET-MEA.VF-
2023-04-13 00:00:00,19.14,23.14,0.0,22.0,,0.0,0.0,0.0,21.8,6.07,0.0,0.0,17.6,0.14,,8.7,18.0,,9.4,,22.56,21.66,0.0,,0.0,18.96,10.04,0.61,0.0,55.94,0.0,55.87,239.0,22.3,0.0,,23.89,3.6,375.5
2023-04-13 00:05:00,19.14,23.25,0.0,21.91,,0.0,0.0,0.0,22.27,6.07,0.0,0.0,17.6,0.13,,8.75,18.01,,,,,21.83,0.0,,0.0,18.92,10.1,0.52,0.0,55.94,0.0,55.86,238.3,30.6,0.0,,23.83,3.4,289.9
2023-04-13 00:10:00,19.14,,0.0,21.8,,0.0,0.0,0.0,,6.05,0.0,0.0,17.6,0.12,,8.8,18.01,,9.5,,,,0.0,,0.0,18.88,,0.5,0.0,55.94,0.0,55.86,238.6,5.6,0.0,,23.73,3.5,-0.6
2023-04-13 00:15:00,19.11,22.97,0.0,21.8,,0.0,0.0,0.0,21.65,6.05,0.0,0.0,17.6,0.15,,8.8,17.99,,,,,21.53,0.0,,0.0,18.85,9.95,0.62,0.0,55.91,0.0,55.87,238.4,27.9,0.0,,23.71,3.4,313.7
2023-04-13 00:20:00,19.1,23.05,47.2,21.72,,0.0,0.0,0.0,22.14,6.06,0.0,0.0,17.6,0.13,,8.8,17.99,,9.3,,,21.73,0.0,,0.0,18.81,10.04,0.52,0.0,55.93,0.0,55.86,238.6,37.9,0.0,,23.61,3.2,349.1
2023-04-13 00:25:00,19.1,,47.0,21.66,,0.0,0.0,0.0,,6.04,0.0,0.0,17.6,0.12,,8.8,17.96,,,,,,0.0,,0.0,18.78,,0.5,0.0,55.94,0.0,55.86,238.9,7.2,0.0,,23.5,3.4,-1.0
2023-04-13 00:30:00,19.11,22.76,0.0,21.6,,0.0,0.0,0.0,21.52,6.03,0.0,0.0,17.6,0.15,,8.8,17.96,,9.3,,,21.41,0.0,,0.0,18.74,9.86,0.64,0.0,55.91,0.0,55.86,238.8,28.7,0.0,,23.47,3.2,363.5
2023-04-13 00:35:00,19.1,22.79,0.0,21.53,,0.0,0.0,0.0,21.92,6.02,0.0,0.0,17.6,0.12,,8.71,17.96,,,,,21.55,0.0,,0.0,18.71,9.96,0.52,0.0,55.91,0.0,55.86,239.0,39.8,0.0,,23.34,3.1,413.3
2023-04-13 00:40:00,19.1,,0.0,21.5,,0.0,0.0,0.0,,6.03,0.0,0.0,17.6,0.12,,8.7,17.96,,9.1,,,,0.0,,0.0,18.66,,0.5,0.0,55.91,0.0,55.86,238.9,7.8,0.0,,23.19,3.0,-0.5
2023-04-13 00:45:00,19.11,22.46,0.0,21.5,,0.0,0.0,0.0,21.33,6.03,0.0,0.0,17.6,0.15,,8.7,17.96,,,,,21.22,0.0,,0.0,18.63,9.79,0.64,0.0,55.91,0.0,55.86,239.0,24.1,0.0,,23.13,3.5,327.4
2023-04-13 00:50:00,19.11,22.41,0.0,21.4,19.1,0.56,72.9,0.0,21.67,6.03,0.05,0.0,17.6,0.21,18.73,8.7,17.97,21.69,9.4,18.05,,21.37,0.0,18.92,0.0,18.6,10.08,0.88,0.79,55.86,0.0,55.83,238.4,455.0,0.0,21.85,23.0,3.1,500.0
2023-04-13 00:55:00,19.11,,0.0,21.4,6.91,3.24,693.1,0.0,,6.03,0.5,0.0,17.6,0.55,4.7,8.61,17.97,21.8,,5.09,,21.49,0.0,8.7,0.0,18.55,12.75,2.35,6.8,55.51,0.0,55.48,238.0,585.6,0.0,25.95,23.21,3.0,-0.7
2023-04-13 01:00:00,19.12,25.22,0.0,21.4,3.85,3.17,671.17,0.0,21.23,5.99,0.5,0.0,17.6,0.59,0.78,8.53,17.98,21.3,9.3,1.65,22.74,20.97,0.0,5.22,0.0,18.48,12.82,2.47,6.58,55.43,0.0,55.36,238.0,516.83,0.0,26.2,24.77,3.17,523.67
2023-04-13 01:05:00,19.1,25.9,0.0,21.4,2.98,3.09,664.9,0.0,23.17,5.97,0.5,0.0,17.6,0.59,-0.07,8.46,17.97,23.01,,0.87,,22.75,0.0,4.43,0.0,18.42,13.98,2.48,6.14,55.4,0.0,55.34,237.9,481.3,0.0,28.01,25.23,3.0,498.1
2023-04-13 01:10:00,19.1,26.5,0.0,21.4,2.4,3.02,660.7,0.0,23.9,5.95,0.5,0.0,17.6,0.59,-0.64,8.33,17.96,22.55,9.3,0.25,,22.16,0.0,3.94,0.0,18.37,13.57,2.47,6.18,55.4,0.0,55.34,237.9,508.5,0.0,27.5,26.12,3.1,57.1
2023-04-13 01:15:00,19.11,26.66,0.0,21.49,1.94,2.99,656.1,0.0,23.2,5.94,0.5,0.0,17.6,0.6,-1.04,8.17,17.96,22.72,,1.38,,22.41,0.0,3.52,0.0,18.33,13.74,2.52,5.99,55.38,0.0,55.34,237.9,472.2,0.0,27.7,27.15,3.0,336.0
2023-04-13 01:20:00,19.13,27.72,0.0,21.5,1.69,2.97,654.6,0.0,24.73,5.93,0.5,0.0,17.6,0.63,-1.27,8.05,17.97,24.49,8.8,1.28,,24.37,0.0,3.27,0.0,18.3,14.9,2.62,5.7,55.35,0.0,55.34,237.9,464.0,0.0,29.48,27.52,3.2,506.8
2023-04-13 01:25:00,19.13,28.4,0.0,21.53,1.23,2.91,651.0,0.0,25.51,5.92,0.5,0.0,17.6,0.6,-1.64,7.93,17.98,23.6,,0.93,,23.26,0.0,2.88,0.0,18.3,14.18,2.52,5.84,55.37,0.0,55.34,238.0,508.9,0.0,28.61,28.07,3.0,130.9
