Displayname,Kalt_oben------,DIST.HC--MTR.HC-W.HC-SUP-MEA.T-,ODC----HOR-MEA.GLIR-CALC,STO.H---W.H-BOT-MEA.T-,GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-,GEN.HC-HP--R410a--CALC.POW.H-,GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-,STO.EL-SCC----CALC.POW.EL-,DIST.HC--MTR.HC-W.HC-RET-MEA.T-,GEN.EL-PV----MEA.VOLT-,GEN.HC-HP.COMP--R410a--CALC.POW.EL-,STO.EL-INV---IN-MEA.CUR-,STO.C---W.C-BOT-MEA.T-,STO.EL-INV---OUT-MEA.POW.EL-,GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-,ODC---AIR.OD--CALC.T-,Kalt_unten------,GEN.H-HP--W.H-RET-MEA.T-,WS.DWD-----MEA.T-,GEN.C-HP--BRINE-RET-CALC.T-,Warm_unten------,GEN.H--MTR.H-W.H-RET-MEA.T-,ODC----VER-MEA.GLIR-CALC,GEN.C-HP--BRINE-SUP-CALC.T-,STO.EL-SCC---IN-MEA.CUR-,ZONE---AIR.ID--MEA.T-,GEN.H--MTR.H-W.H-SUP-CALC.T-,STO.EL-INV---OUT-MEA.CUR-,GEN.HC-HP--R410a--CALC.COP.virt-,STO.EL-SCC----MEA.VOLT-,GEN.EL-PV----MEA.CUR-,STO.EL-INV----MEA.VOLT-,STO.EL-INV---OUT-MEA.VOLT-,GEN.H--MTR.H-W.H-RET-MEA.VF-,STO.EL-INV---IN-MEA.POW.EL-,GEN.H-HP--W.H-SUP-MEA.T-,Warm_oben------,STO.EL-INV---IN-MEA.VOLT-,DIST.HC--MTR.HC-W.HC-RET-MEA.VF-
2023-03-27 00:00:00,19.12,24.64,0.0,22.6,,0.0,0.0,0.0,23.4,6.07,0.0,0.0,17.5,0.12,,8.6,17.92,,8.3,,23.22,22.76,0.0,,0.0,19.1,8.63,0.52,0.0,55.97,0.0,55.95,238.6,26.3,0.0,,25.05,3.7,186.1
2023-03-27 00:05:00,19.13,,0.0,22.53,,0.0,0.0,0.0,,6.07,0.0,0.0,17.5,0.12,,8.6,17.91,,,,,,0.0,,0.0,19.08,,0.5,0.0,55.97,0.0,55.95,238.4,5.0,0.0,,24.85,4.0,-1.0
2023-03-27 00:10:00,19.19,24.17,0.0,22.5,,0.0,0.0,0.0,22.59,6.08,0.0,0.0,17.5,0.14,,8.6,17.94,,8.2,,,22.3,0.0,,0.0,19.07,8.44,0.59,0.0,55.97,0.0,55.95,238.8,26.6,0.0,,24.78,4.0,360.6
2023-03-27 00:15:00,19.22,24.1,0.0,22.45,,0.0,0.0,0.0,23.08,6.08,0.0,0.0,17.5,0.12,,8.6,17.95,,,,,22.54,0.0,,0.0,19.06,8.63,0.5,0.0,55.97,0.0,55.95,239.0,30.1,0.0,,24.48,3.8,249.2
2023-03-27 00:20:00,19.22,,0.0,22.4,,0.0,0.0,0.0,,6.09,0.0,0.0,17.5,0.12,,8.6,17.95,,8.2,,,,0.0,,0.0,19.03,,0.52,0.0,55.97,0.0,55.95,238.9,5.4,0.0,,24.29,3.9,-0.9
2023-03-27 00:25:00,19.17,23.68,0.0,22.4,,0.0,0.0,0.0,22.43,6.1,0.0,0.0,17.5,0.14,,8.6,17.93,,,,,22.1,0.0,,0.0,19.02,8.4,0.59,0.0,55.96,0.0,55.92,238.9,26.7,0.0,,24.22,3.8,306.9
2023-03-27 00:30:00,19.23,23.62,0.0,22.29,,0.0,0.0,0.0,22.68,6.11,0.0,0.0,17.5,0.12,,8.5,17.96,,7.9,,,22.22,0.0,,0.0,19.0,8.57,0.55,0.0,55.97,0.0,55.94,238.8,34.3,0.0,,24.05,3.8,271.0
2023-03-27 00:35:00,19.21,,0.0,22.2,,0.0,0.0,0.0,,6.11,0.0,0.0,17.5,0.12,,8.34,17.97,,,,,,0.0,,0.0,18.97,,0.5,0.0,55.97,0.0,55.95,238.9,6.4,0.0,,23.95,3.5,-0.9
2023-03-27 00:40:00,19.13,23.21,0.0,22.2,,0.0,0.0,0.0,22.09,6.11,0.0,0.0,17.5,0.14,,8.18,17.95,,7.5,,,21.8,0.0,,0.0,18.94,8.33,0.64,0.0,55.94,0.0,55.86,238.9,21.7,0.0,,23.9,3.7,369.1
2023-03-27 00:45:00,19.16,23.31,0.0,22.07,,0.0,0.0,0.0,22.35,6.11,0.0,0.0,17.5,0.12,,8.06,17.92,,,,,21.95,0.0,,0.0,18.9,8.4,0.52,0.0,55.94,0.0,55.88,238.8,36.8,0.0,,23.78,3.7,330.4
