Displayname,Kalt_oben------,DIST.HC--MTR.HC-W.HC-SUP-MEA.T-,ODC----HOR-MEA.GLIR-CALC,STO.H---W.H-BOT-MEA.T-,GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-,GEN.HC-HP--R410a--CALC.POW.H-,GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-,STO.EL-SCC----CALC.POW.EL-,DIST.HC--MTR.HC-W.HC-RET-MEA.T-,GEN.EL-PV----MEA.VOLT-,GEN.HC-HP.COMP--R410a--CALC.POW.EL-,STO.EL-INV---IN-MEA.CUR-,STO.C---W.C-BOT-MEA.T-,STO.EL-INV---OUT-MEA.POW.EL-,GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-,ODC---AIR.OD--CALC.T-,Kalt_unten------,GEN.H-HP--W.H-RET-MEA.T-,WS.DWD-----MEA.T-,GEN.C-HP--BRINE-RET-CALC.T-,Warm_unten------,GEN.H--MTR.H-W.H-RET-MEA.T-,ODC----VER-MEA.GLIR-CALC,GEN.C-HP--BRINE-SUP-CALC.T-,STO.EL-SCC---IN-MEA.CUR-,ZONE---AIR.ID--MEA.T-,GEN.H--MTR.H-W.H-SUP-CALC.T-,STO.EL-INV---OUT-MEA.CUR-,GEN.HC-HP--R410a--CALC.COP.virt-,STO.EL-SCC----MEA.VOLT-,GEN.EL-PV----MEA.CUR-,STO.EL-INV----MEA.VOLT-,STO.EL-INV---OUT-MEA.VOLT-,GEN.H--MTR.H-W.H-RET-MEA.VF-,STO.EL-INV---IN-MEA.POW.EL-,GEN.H-HP--W.H-SUP-MEA.T-,Warm_oben------,STO.EL-INV---IN-MEA.VOLT-,DIST.HC--MTR.HC-W.HC-RET-MEA.VF-
2022-03-09 00:00:00,10.75,13.54,0.0,12.6,,0.0,0.0,0.0,12.4,4.3,0.0,0.0,9.9,0.19,,0.9,10.64,,1.0,,13.12,,0.0,,0.0,10.55,,0.83,0.0,56.41,0.0,56.3,238.2,4.7,0.0,,14.06,3.0,90.6
2022-03-09 00:05:00,10.75,13.53,0.0,12.6,,0.0,0.0,0.0,12.29,4.31,0.0,0.0,9.9,0.19,,0.9,10.6,,,,,,0.0,,0.0,10.49,,0.83,0.0,56.41,0.0,56.3,238.3,4.0,0.0,,14.06,3.0,91.0
2022-03-09 00:10:00,10.78,13.52,0.0,12.6,,0.0,0.0,0.0,12.18,4.32,0.0,0.0,9.9,0.2,,0.98,10.58,,1.0,,,,0.0,,0.0,10.44,,0.84,0.0,56.41,0.0,56.3,237.8,4.0,0.0,,14.05,3.0,90.8
2022-03-09 00:15:00,10.74,13.5,0.0,12.55,,0.0,0.0,0.0,12.18,4.33,0.0,0.0,9.9,0.2,,1.04,10.6,,,,,,0.0,,0.0,10.4,,0.83,0.0,56.39,0.0,56.3,238.1,4.0,0.0,,14.02,3.0,90.7
2022-03-09 00:20:00,10.73,13.5,0.0,12.49,,0.0,0.0,0.0,12.13,4.33,0.0,0.0,9.9,0.19,,1.11,10.59,,0.4,,,,0.0,,0.0,10.35,,0.84,0.0,56.38,0.0,56.3,238.3,0.8,0.0,,14.03,3.0,90.2
2022-03-09 00:25:00,10.76,13.5,0.0,12.4,,0.0,0.0,0.0,12.1,4.32,0.0,0.0,9.9,0.19,,1.2,10.57,,,,,,0.0,,0.0,10.31,,0.84,0.0,56.38,0.0,56.3,238.2,0.0,0.0,,14.02,3.0,89.9
2022-03-09 00:30:00,10.75,13.5,0.0,12.34,,0.0,0.0,0.0,12.1,4.32,0.0,0.0,9.9,0.2,,1.2,10.57,,0.2,,,,0.0,,0.0,10.26,,0.83,0.0,56.38,0.0,56.3,237.8,0.0,0.0,,14.02,3.0,90.4
2022-03-09 00:35:00,10.73,13.5,0.0,12.3,,0.0,0.0,0.0,12.07,4.32,0.0,0.0,9.9,0.2,,1.2,10.58,,,,,,0.0,,0.0,10.21,,0.83,0.0,56.38,0.0,56.3,238.1,0.0,0.0,,13.99,3.0,90.5
2022-03-09 00:40:00,10.75,13.47,0.0,12.2,,0.0,0.0,0.0,12.03,4.32,0.0,0.0,9.9,0.19,,1.2,10.58,,0.4,,,,0.0,,0.0,10.18,,0.83,0.0,56.38,0.0,56.3,238.2,0.0,0.0,,13.96,3.0,90.1
2022-03-09 00:45:00,10.73,13.46,0.0,12.16,,0.0,0.0,0.0,12.0,4.32,0.0,0.0,9.9,0.2,,1.25,10.57,,,,,,0.0,,0.0,10.13,,0.83,0.0,56.38,0.0,56.31,238.2,0.0,0.0,,13.97,3.0,90.6
