Displayname,Kalt_oben------,DIST.HC--MTR.HC-W.HC-SUP-MEA.T-,ODC----HOR-MEA.GLIR-CALC,STO.H---W.H-BOT-MEA.T-,GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-,GEN.HC-HP--R410a--CALC.POW.H-,GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-,STO.EL-SCC----CALC.POW.EL-,DIST.HC--MTR.HC-W.HC-RET-MEA.T-,GEN.EL-PV----MEA.VOLT-,GEN.HC-HP.COMP--R410a--CALC.POW.EL-,STO.EL-INV---IN-MEA.CUR-,STO.C---W.C-BOT-MEA.T-,STO.EL-INV---OUT-MEA.POW.EL-,GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-,ODC---AIR.OD--CALC.T-,Kalt_unten------,GEN.H-HP--W.H-RET-MEA.T-,WS.DWD-----MEA.T-,GEN.C-HP--BRINE-RET-CALC.T-,Warm_unten------,GEN.H--MTR.H-W.H-RET-MEA.T-,ODC----VER-MEA.GLIR-CALC,GEN.C-HP--BRINE-SUP-CALC.T-,STO.EL-SCC---IN-MEA.CUR-,ZONE---AIR.ID--MEA.T-,GEN.H--MTR.H-W.H-SUP-CALC.T-,STO.EL-INV---OUT-MEA.CUR-,GEN.HC-HP--R410a--CALC.COP.virt-,STO.EL-SCC----MEA.VOLT-,GEN.EL-PV----MEA.CUR-,STO.EL-INV----MEA.VOLT-,STO.EL-INV---OUT-MEA.VOLT-,GEN.H--MTR.H-W.H-RET-MEA.VF-,STO.EL-INV---IN-MEA.POW.EL-,GEN.H-HP--W.H-SUP-MEA.T-,Warm_oben------,STO.EL-INV---IN-MEA.VOLT-,DIST.HC--MTR.HC-W.HC-RET-MEA.VF-
2022-11-17 00:00:00,13.71,23.53,0.0,22.14,,0.0,4.2,0.0,23.5,6.36,0.0,0.0,13.0,0.16,,10.0,13.62,,9.3,,22.94,23.36,0.0,,0.0,18.63,22.67,0.66,0.0,55.91,0.0,55.86,237.9,57.0,0.0,,22.95,4.0,605.7
2022-11-17 00:05:00,13.73,23.24,0.0,22.23,,0.0,4.0,0.0,22.89,6.38,0.0,0.0,13.0,0.16,,10.0,13.61,,,,,22.61,0.0,,0.0,18.7,22.69,0.66,0.0,55.93,0.0,55.87,237.8,56.4,0.0,,23.1,4.0,603.7
2022-11-17 00:10:00,13.74,23.03,0.0,22.3,,0.0,4.0,0.0,22.63,6.39,0.0,0.0,13.0,0.16,,10.03,13.61,,9.4,,,22.35,0.0,,0.0,18.73,22.55,0.66,0.0,55.94,0.0,55.87,237.9,56.4,0.0,,23.19,4.0,605.8
2022-11-17 00:15:00,13.74,22.87,0.0,22.27,,0.0,3.6,0.0,22.39,6.39,0.0,0.0,13.0,0.16,,10.1,13.63,,,,,22.15,0.0,,0.0,18.78,22.5,0.66,0.0,55.94,0.0,55.86,237.8,56.2,0.0,,23.19,4.0,607.3
2022-11-17 00:20:00,13.73,22.81,0.0,22.17,,0.0,0.0,0.0,22.3,6.39,0.0,0.0,13.0,0.16,,10.2,13.64,,9.3,,,22.01,0.0,,0.0,18.81,22.46,0.66,0.0,55.94,0.0,55.88,238.0,56.4,0.0,,23.14,4.0,603.9
2022-11-17 00:25:00,13.77,22.7,0.0,22.08,,0.0,0.0,0.0,22.19,6.39,0.0,0.0,13.0,0.16,,10.27,13.62,,,,,21.95,0.0,,0.0,18.83,22.48,0.67,0.0,55.94,0.0,55.87,237.9,56.3,0.0,,23.1,4.0,606.3
2022-11-17 00:30:00,13.76,22.68,0.0,21.99,,0.0,0.0,0.0,22.12,6.39,0.0,0.0,13.0,0.16,,10.3,13.67,,9.2,,,21.88,0.0,,0.0,18.85,22.42,0.66,0.0,55.94,0.0,55.86,237.9,56.6,0.0,,23.09,4.0,603.6
2022-11-17 00:35:00,13.76,22.61,0.0,21.9,,0.0,0.0,0.0,22.04,6.39,0.0,0.0,13.0,0.17,,10.3,13.63,,,,,21.82,0.0,,0.0,18.87,22.43,0.72,0.0,55.92,0.0,55.87,237.9,371.6,0.0,,23.08,4.0,604.1
2022-11-17 00:40:00,13.74,22.69,0.0,21.82,11.93,1.71,352.8,0.0,22.01,6.39,0.25,0.0,13.0,0.41,9.17,10.3,13.66,22.12,9.2,9.95,,21.8,0.0,11.71,0.0,18.87,21.92,1.71,3.31,55.73,0.0,55.69,237.5,489.5,0.0,23.22,23.14,4.6,607.6
2022-11-17 00:45:00,13.77,24.08,0.0,21.8,7.29,3.34,693.7,0.0,22.34,6.39,0.5,0.0,13.0,0.58,4.24,10.3,13.63,22.41,,4.88,,22.09,0.0,8.55,0.0,18.88,21.75,2.47,6.93,55.48,0.0,55.45,237.1,501.4,0.0,27.41,23.58,5.0,610.1
2022-11-17 00:50:00,13.78,25.89,0.0,21.8,5.94,3.25,685.0,0.0,23.58,6.37,0.5,0.0,13.0,0.6,2.75,10.25,13.63,23.51,9.3,3.58,,23.31,0.0,7.23,0.0,18.88,22.05,2.55,6.57,55.43,0.0,55.42,237.0,497.7,0.0,28.49,23.97,5.0,610.1
2022-11-17 00:55:00,13.78,26.99,0.0,21.83,5.59,1.6,453.3,0.0,24.72,6.35,0.25,0.0,13.0,0.39,2.5,10.14,13.64,24.5,,3.78,,24.42,0.0,6.9,0.0,18.88,22.21,1.69,3.2,55.57,0.0,55.54,237.5,326.7,0.0,28.92,23.97,4.5,604.2
