Displayname,Kalt_oben------,DIST.HC--MTR.HC-W.HC-SUP-MEA.T-,ODC----HOR-MEA.GLIR-CALC,STO.H---W.H-BOT-MEA.T-,GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-,GEN.HC-HP--R410a--CALC.POW.H-,GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-,STO.EL-SCC----CALC.POW.EL-,DIST.HC--MTR.HC-W.HC-RET-MEA.T-,GEN.EL-PV----MEA.VOLT-,GEN.HC-HP.COMP--R410a--CALC.POW.EL-,STO.EL-INV---IN-MEA.CUR-,STO.C---W.C-BOT-MEA.T-,STO.EL-INV---OUT-MEA.POW.EL-,GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-,ODC---AIR.OD--CALC.T-,Kalt_unten------,GEN.H-HP--W.H-RET-MEA.T-,WS.DWD-----MEA.T-,GEN.C-HP--BRINE-RET-CALC.T-,Warm_unten------,GEN.H--MTR.H-W.H-RET-MEA.T-,ODC----VER-MEA.GLIR-CALC,GEN.C-HP--BRINE-SUP-CALC.T-,STO.EL-SCC---IN-MEA.CUR-,ZONE---AIR.ID--MEA.T-,GEN.H--MTR.H-W.H-SUP-CALC.T-,STO.EL-INV---OUT-MEA.CUR-,GEN.HC-HP--R410a--CALC.COP.virt-,STO.EL-SCC----MEA.VOLT-,GEN.EL-PV----MEA.CUR-,STO.EL-INV----MEA.VOLT-,STO.EL-INV---OUT-MEA.VOLT-,GEN.H--MTR.H-W.H-RET-MEA.VF-,STO.EL-INV---IN-MEA.POW.EL-,GEN.H-HP--W.H-SUP-MEA.T-,Warm_oben------,STO.EL-INV---IN-MEA.VOLT-,DIST.HC--MTR.HC-W.HC-RET-MEA.VF-
2022-04-17 00:00:00,24.3,23.47,0.0,52.37,1.88,2.7,659.0,0.0,23.29,5.1,0.89,0.0,23.5,0.94,0.22,8.88,24.1,52.61,7.5,1.35,54.48,53.06,0.0,3.97,0.0,22.37,58.22,3.95,3.18,55.28,0.0,55.27,237.9,353.7,0.0,57.58,56.28,3.0,400.0
2022-04-17 00:05:00,24.13,23.42,0.0,52.73,1.59,2.7,658.1,0.0,23.24,5.1,0.9,0.0,23.47,0.94,-0.01,8.65,24.06,53.11,,1.07,,53.62,0.0,3.74,0.0,22.26,58.81,3.95,3.1,55.26,0.0,55.27,237.9,344.6,0.0,58.09,56.82,3.0,399.4
2022-04-17 00:10:00,24.2,23.4,0.0,53.0,1.65,2.7,659.5,0.0,23.2,5.12,0.9,0.0,23.4,0.94,0.03,8.42,24.02,53.54,7.2,1.14,,54.05,0.0,3.7,0.0,22.18,59.27,3.97,3.1,55.25,0.0,55.24,238.0,345.8,0.0,58.55,57.34,3.0,399.4
2022-04-17 00:15:00,24.1,23.37,0.0,53.26,1.63,2.7,659.3,0.0,23.15,5.14,0.9,0.0,23.4,0.94,0.06,8.25,23.96,53.89,,1.16,,54.44,0.0,3.7,0.0,22.09,59.62,3.97,3.1,55.22,0.0,55.17,237.9,344.9,0.0,58.89,57.89,3.0,400.2
2022-04-17 00:20:00,24.08,23.31,0.0,53.56,1.51,2.7,659.1,0.0,23.08,5.15,0.9,0.0,23.34,0.94,-0.05,8.05,23.94,54.16,7.3,1.08,,54.73,0.0,3.65,0.0,22.0,59.98,3.97,3.04,55.21,0.0,55.17,237.8,342.9,0.0,59.17,58.32,3.0,400.0
2022-04-17 00:25:00,24.05,23.29,0.0,53.9,1.36,2.66,660.8,0.0,23.08,5.16,0.9,7.47,23.3,0.97,-0.15,7.91,23.88,54.44,,0.93,,55.04,0.0,3.53,0.0,21.91,60.25,4.24,3.01,55.98,0.0,56.01,227.6,340.0,1.65,59.43,58.71,157.2,399.3
2022-04-17 00:30:00,24.06,23.24,0.0,54.25,1.49,2.7,664.6,0.0,22.99,5.18,0.9,13.23,23.3,0.97,-0.07,7.75,23.85,54.72,6.9,1.05,,55.41,0.0,3.58,0.0,21.83,60.59,4.45,3.0,56.86,0.0,56.82,219.0,339.6,2.89,59.72,59.07,219.0,400.2
2022-04-17 00:35:00,23.94,23.2,118.4,54.63,1.42,2.67,662.0,0.0,22.97,5.19,0.9,13.31,23.2,0.97,-0.05,7.6,23.82,55.07,,1.04,,55.76,0.0,3.57,0.0,21.78,60.98,4.45,3.0,56.99,0.0,56.98,218.8,338.0,2.91,60.05,59.39,218.9,399.5
2022-04-17 00:40:00,23.93,23.17,0.0,55.05,0.97,2.6,658.1,0.0,22.89,5.18,0.9,13.45,23.2,0.98,-0.37,7.5,23.75,55.49,6.5,0.7,,56.15,0.0,3.25,0.0,21.73,61.3,4.47,2.95,57.08,0.0,57.06,218.5,328.1,2.95,60.49,59.65,218.6,399.7
2022-04-17 00:45:00,23.97,23.1,0.0,55.53,0.77,2.34,630.2,0.0,22.88,5.18,0.81,12.9,23.14,0.9,0.51,7.5,23.69,55.92,,0.45,,56.54,0.0,3.0,0.0,21.69,61.77,4.11,2.61,57.14,0.0,57.12,219.7,325.9,2.84,60.9,59.98,219.7,399.7
2022-04-17 00:50:00,23.84,23.1,0.0,55.44,3.83,0.0,268.9,0.0,22.83,5.25,0.0,8.89,23.1,0.15,49.59,7.5,23.68,,7.1,,,55.06,0.0,,0.0,21.66,60.47,0.66,0.0,57.19,0.0,57.16,225.4,17.5,2.01,,57.74,225.7,399.4
2022-04-17 00:55:00,23.79,23.1,0.0,53.13,17.33,0.0,299.67,0.0,22.87,5.53,0.0,8.91,23.1,0.15,52.27,7.58,23.63,,,,,,0.0,,0.0,21.73,,0.68,0.0,57.24,0.0,57.23,225.0,4.33,2.01,,53.84,225.0,399.89
2022-04-17 01:00:00,23.81,23.1,0.0,50.27,25.17,0.0,305.29,0.0,22.89,5.73,0.0,17.09,23.0,1.68,49.57,7.99,23.6,,9.0,,49.27,51.39,0.0,,0.0,21.86,54.47,7.92,0.0,57.29,0.0,57.27,212.71,378.57,3.63,,51.01,212.57,400.0
2022-04-17 01:05:00,23.75,23.1,0.0,48.74,27.52,0.0,306.4,0.0,22.88,5.75,0.0,13.88,23.0,1.06,48.0,8.29,23.58,,,,,49.95,0.0,,0.0,21.95,54.99,5.0,0.0,57.35,0.0,57.33,216.8,198.8,2.98,,49.58,216.8,399.3
2022-04-17 01:10:00,23.76,23.11,0.0,47.7,28.79,3.62,729.4,0.0,22.91,5.72,0.81,13.36,23.0,0.97,33.3,8.7,23.53,48.24,9.6,31.09,,48.43,0.0,33.86,0.0,22.05,51.68,4.46,4.8,57.41,0.0,57.41,217.4,822.8,2.91,51.43,49.28,217.4,399.8
2022-04-17 01:15:00,23.77,23.1,99.2,46.93,20.64,3.56,771.6,0.0,22.9,5.65,0.87,13.68,23.0,1.02,18.71,9.08,23.5,47.72,,18.65,,47.91,0.0,21.88,0.0,22.13,50.83,4.72,4.07,57.47,0.0,57.47,217.2,998.5,2.97,50.38,49.84,217.3,399.9
2022-04-17 01:20:00,23.72,23.1,0.0,47.01,13.67,3.76,734.1,0.0,22.9,5.55,0.83,13.35,23.0,0.96,11.43,9.28,23.57,47.7,9.4,11.93,,47.96,0.0,15.3,0.0,22.15,53.0,4.44,4.47,57.53,0.0,57.5,217.7,575.0,2.91,52.49,50.29,217.8,400.1
2022-04-17 01:25:00,23.7,23.09,0.0,47.99,9.43,3.42,711.2,0.0,22.89,5.45,0.8,13.31,23.0,0.97,7.25,9.3,23.6,47.91,,7.99,,48.29,0.0,11.15,0.0,22.15,53.3,4.45,4.05,57.58,0.0,57.58,217.9,499.8,2.9,52.77,51.31,218.0,399.7
2022-04-17 01:30:00,23.62,23.01,0.0,48.42,6.58,3.2,695.7,0.0,22.83,5.36,0.89,13.31,22.98,0.97,4.56,9.25,23.59,48.78,8.5,5.4,,49.25,0.0,8.51,0.0,22.11,54.3,4.44,3.73,57.63,0.0,57.59,218.0,452.1,2.9,53.74,52.06,217.9,399.2
2022-04-17 01:35:00,23.62,22.98,0.0,48.59,4.67,3.04,684.6,0.0,22.8,5.29,0.9,13.31,22.9,0.97,2.76,9.07,23.56,49.28,,3.76,,49.81,0.0,6.68,0.0,22.06,54.9,4.44,3.56,57.66,0.0,57.66,217.9,428.7,2.89,54.24,52.84,218.0,399.4
2022-04-17 01:40:00,23.66,22.91,0.0,48.77,3.45,2.96,676.2,0.0,22.73,5.24,0.89,13.31,22.9,0.97,1.54,8.88,23.49,49.51,7.7,2.68,,50.07,0.0,5.42,0.0,22.01,55.24,4.44,3.47,57.7,0.0,57.67,218.1,411.6,2.9,54.49,53.57,218.1,399.7
2022-04-17 01:45:00,23.67,22.9,0.0,49.2,2.46,2.89,669.9,0.0,22.72,5.22,0.84,13.31,22.9,0.95,0.63,8.7,23.45,49.68,,1.78,,50.25,0.0,4.51,0.0,21.95,55.33,4.36,3.39,57.73,0.0,57.72,217.9,405.4,2.9,54.65,54.09,218.0,399.8
2022-04-17 01:50:00,23.56,22.82,0.0,49.75,1.89,2.8,665.3,0.0,22.65,5.19,0.89,13.3,22.83,0.96,0.02,8.55,23.43,49.99,7.2,1.13,,50.54,0.0,3.95,0.0,21.89,55.68,4.38,3.3,57.77,0.0,57.75,218.8,384.9,2.91,54.98,54.47,218.8,399.4
2022-04-17 01:55:00,23.55,22.78,0.0,50.26,1.46,2.8,661.0,0.0,22.58,5.18,0.9,13.1,22.8,0.97,-0.24,8.46,23.43,50.55,,0.78,,51.06,0.0,3.59,0.0,21.83,56.23,4.42,3.27,57.79,0.0,57.75,218.7,376.1,2.87,55.53,54.73,218.8,399.6
2022-04-17 02:00:00,23.49,22.73,0.0,50.85,0.81,2.74,656.2,0.0,22.54,5.16,0.9,11.29,22.8,0.97,-0.85,8.32,23.34,51.12,6.7,0.19,53.5,51.64,0.0,3.08,0.0,21.78,56.82,4.37,3.2,57.68,0.0,57.68,221.4,365.5,2.49,56.11,55.1,198.0,399.1
2022-04-17 02:05:00,23.51,22.7,0.0,51.45,0.15,2.67,647.2,0.0,22.51,5.13,0.88,0.0,22.73,0.93,-1.4,8.09,23.32,51.65,,1.26,,52.11,0.0,2.44,0.0,21.7,57.28,3.92,3.1,56.47,0.0,56.41,237.9,350.0,0.0,56.62,55.55,3.0,399.8
2022-04-17 02:10:00,23.46,22.7,0.0,51.93,-0.26,2.58,643.8,0.0,22.48,5.1,0.8,0.0,22.7,0.9,-1.75,7.79,23.31,52.15,6.9,0.96,,52.66,0.0,2.05,0.0,21.62,57.85,3.78,3.07,56.29,0.0,56.26,238.0,329.0,0.0,57.16,55.95,3.0,399.9
2022-04-17 02:15:00,23.37,22.63,0.0,52.3,-0.36,2.56,642.4,0.0,22.43,5.1,0.8,0.0,22.7,0.91,-1.84,7.5,23.25,52.64,,0.94,,53.12,0.0,1.91,0.0,21.52,58.26,3.85,3.02,56.21,0.0,56.2,237.9,328.1,0.0,57.6,56.44,3.0,399.4
2022-04-17 02:20:00,23.35,22.6,0.0,52.58,-0.57,2.51,641.6,0.0,22.35,5.09,0.81,0.0,22.6,0.94,-2.0,7.29,23.22,53.07,6.8,0.76,,53.57,0.0,1.71,0.0,21.41,58.69,3.95,3.0,56.15,0.0,56.12,238.0,323.3,0.0,58.06,56.86,3.0,398.8
2022-04-17 02:25:00,23.36,22.55,0.0,52.8,-0.78,2.5,639.5,0.0,22.3,5.07,0.89,0.0,22.6,0.94,-2.21,7.07,23.21,53.41,,0.57,,53.99,0.0,1.45,0.0,21.3,59.16,3.95,2.98,56.12,0.0,56.09,237.9,318.6,0.0,58.41,57.32,3.0,398.9
2022-04-17 02:30:00,23.27,22.5,0.0,53.06,-0.81,2.5,640.1,0.0,22.26,5.07,0.9,0.0,22.54,0.94,-2.24,6.95,23.11,53.7,6.9,0.57,,54.27,0.0,1.46,0.0,21.2,59.41,3.97,2.93,56.08,0.0,56.03,237.9,320.7,0.0,58.7,57.81,3.0,399.2
2022-04-17 02:35:00,23.24,22.48,0.0,53.36,-0.65,2.5,642.6,0.0,22.22,5.08,0.9,0.0,22.5,0.94,-2.09,6.9,23.07,53.95,,0.71,,54.55,0.0,1.52,0.0,21.1,59.71,3.95,2.91,56.05,0.0,56.02,238.0,323.5,0.0,58.95,58.18,3.0,398.5
2022-04-17 02:40:00,23.23,22.42,0.0,53.7,-0.28,2.54,643.5,0.0,22.16,5.1,0.9,0.0,22.46,0.94,-1.78,6.9,23.05,54.2,6.5,0.97,,54.84,0.0,1.88,0.0,20.99,60.06,3.95,2.94,56.0,0.0,55.96,237.8,323.4,0.0,59.23,58.53,3.0,398.8
2022-04-17 02:45:00,23.13,22.38,0.0,54.05,-0.02,2.58,644.3,0.0,22.1,5.11,0.9,0.0,22.4,0.94,-1.43,6.9,22.99,54.51,,1.22,,55.17,0.0,2.1,0.0,20.91,60.35,3.98,2.94,55.95,0.0,55.94,237.8,325.2,0.0,59.5,58.84,3.0,399.8
2022-04-17 02:50:00,23.1,22.33,0.0,54.43,0.01,2.58,646.2,0.0,22.09,5.11,0.9,0.0,22.37,0.95,-1.42,6.99,22.93,54.83,6.1,1.26,,55.53,0.0,2.15,0.0,20.83,60.78,3.98,2.9,55.92,0.0,55.87,238.0,319.5,0.0,59.84,59.18,3.0,398.4
2022-04-17 02:55:00,23.09,22.28,0.0,54.81,0.43,2.6,650.6,0.0,22.0,5.13,0.9,0.0,22.3,0.97,-1.09,7.0,22.88,55.21,,1.06,,55.94,0.0,2.53,0.0,20.75,61.15,4.05,2.91,55.85,0.0,55.84,237.9,327.5,0.0,60.23,59.47,3.0,399.7
2022-04-17 03:00:00,23.06,22.28,0.0,55.24,0.87,2.6,653.7,0.0,21.96,5.15,0.9,0.0,22.3,0.97,-0.6,7.11,22.84,55.66,6.1,0.39,51.61,56.36,0.0,2.95,0.0,20.69,61.46,4.11,2.92,55.77,0.0,55.76,238.0,330.3,0.0,60.56,59.69,3.0,398.5
