;PV_Pel_expVAR;T_4_expVAR;HM4_SUP_expVAR;Pyra2_expVAR;Hot_Tank_expVAR;HM1_SUP_expVAR;HP_Pel_expVAR;HM1_VF_expVAR;P_PV_expVAR;HM4_RET_expVAR;U_PV_expVAR;Pel_expVAR;Inv_Cur_In_expVAR;Cold_Tank_expVAR;P_Inv_out_expVAR;HM1_RET_expVAR;T_amb_expVAR;T_1_expVAR;WP_senke_ein_expVAR;wetterstation_expVAR;WP_Quelle_aus_expVAR;T_2_expVAR;HM10_SUP_expVAR;Pyra1_expVAR;WP_Quelle_ein_expVAR;SCC_Cur_in_expVAR;Zone_expVAR;HM10_RET_expVAR;Inv_Cur_Out_expVAR;COP_expVAR;SCC_vol_out_expVAR;PV_Cur_expVAR;U_bat_expVAR;U_grid_expVAR;HM10_VF_expVAR;P_Inv_loading_expVAR;WP_senke_aus_expVAR;T_3_expVAR;Inv_Volt_In_expVAR;HM4_VF_expVAR
Displayname;GEN.EL-PV----CALC.POW.EL-;Kalt_oben------;DIST.HC--MTR.HC-W.HC-SUP-MEA.T-;ODC----HOR-MEA.GLIR-CALC;STO.H---W.H-BOT-MEA.T-;GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-;GEN.HC-HP--R410a--CALC.POW.H-;GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-;STO.EL-SCC----CALC.POW.EL-;DIST.HC--MTR.HC-W.HC-RET-MEA.T-;GEN.EL-PV----MEA.VOLT-;GEN.HC-HP.COMP--R410a--CALC.POW.EL-;STO.EL-INV---IN-MEA.CUR-;STO.C---W.C-BOT-MEA.T-;STO.EL-INV---OUT-MEA.POW.EL-;GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-;ODC---AIR.OD--CALC.T-;Kalt_unten------;GEN.H-HP--W.H-RET-MEA.T-;WS.DWD-----MEA.T-;GEN.C-HP--BRINE-RET-CALC.T-;Warm_unten------;GEN.H--MTR.H-W.H-RET-MEA.T-;ODC----VER-MEA.GLIR-CALC;GEN.C-HP--BRINE-SUP-CALC.T-;STO.EL-SCC---IN-MEA.CUR-;ZONE---AIR.ID--MEA.T-;GEN.H--MTR.H-W.H-SUP-CALC.T-;STO.EL-INV---OUT-MEA.CUR-;GEN.HC-HP--R410a--CALC.COP.virt-;STO.EL-SCC----MEA.VOLT-;GEN.EL-PV----MEA.CUR-;STO.EL-INV----MEA.VOLT-;STO.EL-INV---OUT-MEA.VOLT-;GEN.H--MTR.H-W.H-RET-MEA.VF-;STO.EL-INV---IN-MEA.POW.EL-;GEN.H-HP--W.H-SUP-MEA.T-;Warm_oben------;STO.EL-INV---IN-MEA.VOLT-;DIST.HC--MTR.HC-W.HC-RET-MEA.VF-
2021/12/23 00:00:00;0.00;13.37;30.21;0.00;26.70;-99.00;0.00;0.00;0.00;27.38;5.06;0.00;8.72;11.78;0.15;-99.00;-2.04;12.22;-99.00;-5.50;-99.00;26.73;26.97;0.00;-99.00;0.00;16.90;25.82;0.66;0.00;57.76;0.00;57.73;227.00;25.70;1.98;-99.00;30.53;227.00;375.20
2021/12/23 00:05:00;0.00;13.32;29.65;0.00;26.70;-99.00;0.00;0.00;0.00;27.14;5.08;0.00;8.39;11.80;0.15;-99.00;-1.87;12.29;-99.00;;-99.00;;26.78;0.00;-99.00;0.00;16.98;25.80;0.66;0.00;57.78;0.00;57.75;227.20;29.90;1.91;-99.00;29.63;227.30;393.50
2021/12/23 00:10:00;0.00;13.37;28.79;0.00;26.58;-99.00;0.00;0.00;0.00;26.82;5.10;0.00;7.91;11.80;0.15;-99.00;-1.75;12.27;-99.00;-4.10;-99.00;;26.50;0.00;-99.00;0.00;17.02;25.71;0.67;0.00;57.78;0.00;57.76;227.70;35.10;1.80;-99.00;28.68;227.50;421.70
2021/12/23 00:15:00;0.00;13.37;28.15;0.00;26.42;-99.00;0.00;0.00;0.00;26.40;5.10;0.00;7.32;11.80;0.15;-99.00;-1.63;12.27;-99.00;;-99.00;;26.10;0.00;-99.00;0.00;17.06;25.58;0.66;0.00;57.78;0.00;57.76;228.60;39.90;1.67;-99.00;28.25;228.30;449.00
2021/12/23 00:20:00;0.00;13.36;27.81;0.00;26.15;-99.00;0.00;0.00;0.00;26.02;5.11;0.00;6.76;11.80;0.15;-99.00;-1.52;12.28;-99.00;-3.50;-99.00;;25.73;0.00;-99.00;0.00;17.07;25.33;0.66;0.00;57.78;0.00;57.75;230.10;42.50;1.56;-99.00;28.06;230.10;465.80
2021/12/23 00:25:00;0.00;13.35;27.58;0.00;25.80;-99.00;0.00;0.00;0.00;25.80;5.15;0.00;6.31;11.80;0.15;-99.00;-1.43;12.31;-99.00;;-99.00;;25.47;0.00;-99.00;0.00;17.07;24.99;0.66;0.00;57.78;0.00;57.75;230.60;44.10;1.46;-99.00;27.95;230.90;474.80
2021/12/23 00:30:00;0.00;13.36;27.46;0.00;25.45;-99.00;0.00;0.00;0.00;25.64;5.16;0.00;5.90;11.80;0.15;-99.00;-1.36;12.29;-99.00;-3.60;-99.00;;25.31;0.00;-99.00;0.00;17.05;24.77;0.67;0.00;57.78;0.00;57.75;231.10;45.00;1.37;-99.00;27.85;231.60;480.10
2021/12/23 00:35:00;0.00;13.36;27.30;0.00;25.18;-99.00;0.00;0.00;0.00;25.50;5.15;0.00;5.67;11.80;0.15;-99.00;-1.30;12.27;-99.00;;-99.00;;25.17;0.00;-99.00;0.00;17.04;24.60;0.67;0.00;57.79;0.00;57.75;232.00;45.80;1.32;-99.00;27.74;232.00;484.20
2021/12/23 00:40:00;0.00;13.38;27.11;0.00;24.99;-99.00;0.00;0.00;0.00;25.36;5.15;0.00;0.57;11.80;0.16;-99.00;-1.23;12.29;-99.00;-3.20;-99.00;;25.08;0.00;-99.00;0.00;17.01;24.48;0.66;0.00;57.13;0.00;57.10;237.50;46.00;0.13;-99.00;27.53;25.90;487.50
