;PV_Pel_expVAR;T_4_expVAR;HM4_SUP_expVAR;Pyra2_expVAR;Hot_Tank_expVAR;HM1_SUP_expVAR;HP_Pel_expVAR;HM1_VF_expVAR;P_PV_expVAR;HM4_RET_expVAR;U_PV_expVAR;Pel_expVAR;Inv_Cur_In_expVAR;Cold_Tank_expVAR;P_Inv_out_expVAR;HM1_RET_expVAR;T_amb_expVAR;T_1_expVAR;WP_senke_ein_expVAR;wetterstation_expVAR;WP_Quelle_aus_expVAR;T_2_expVAR;HM10_SUP_expVAR;Pyra1_expVAR;WP_Quelle_ein_expVAR;SCC_Cur_in_expVAR;Zone_expVAR;HM10_RET_expVAR;Inv_Cur_Out_expVAR;COP_expVAR;SCC_vol_out_expVAR;PV_Cur_expVAR;U_bat_expVAR;U_grid_expVAR;HM10_VF_expVAR;P_Inv_loading_expVAR;WP_senke_aus_expVAR;T_3_expVAR;Inv_Volt_In_expVAR;HM4_VF_expVAR
Displayname;GEN.EL-PV----CALC.POW.EL-;Kalt_oben------;DIST.HC--MTR.HC-W.HC-SUP-MEA.T-;ODC----HOR-MEA.GLIR-CALC;STO.H---W.H-BOT-MEA.T-;GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-;GEN.HC-HP--R410a--CALC.POW.H-;GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-;STO.EL-SCC----CALC.POW.EL-;DIST.HC--MTR.HC-W.HC-RET-MEA.T-;GEN.EL-PV----MEA.VOLT-;GEN.HC-HP.COMP--R410a--CALC.POW.EL-;STO.EL-INV---IN-MEA.CUR-;STO.C---W.C-BOT-MEA.T-;STO.EL-INV---OUT-MEA.POW.EL-;GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-;ODC---AIR.OD--CALC.T-;Kalt_unten------;GEN.H-HP--W.H-RET-MEA.T-;WS.DWD-----MEA.T-;GEN.C-HP--BRINE-RET-CALC.T-;Warm_unten------;GEN.H--MTR.H-W.H-RET-MEA.T-;ODC----VER-MEA.GLIR-CALC;GEN.C-HP--BRINE-SUP-CALC.T-;STO.EL-SCC---IN-MEA.CUR-;ZONE---AIR.ID--MEA.T-;GEN.H--MTR.H-W.H-SUP-CALC.T-;STO.EL-INV---OUT-MEA.CUR-;GEN.HC-HP--R410a--CALC.COP.virt-;STO.EL-SCC----MEA.VOLT-;GEN.EL-PV----MEA.CUR-;STO.EL-INV----MEA.VOLT-;STO.EL-INV---OUT-MEA.VOLT-;GEN.H--MTR.H-W.H-RET-MEA.VF-;STO.EL-INV---IN-MEA.POW.EL-;GEN.H-HP--W.H-SUP-MEA.T-;Warm_oben------;STO.EL-INV---IN-MEA.VOLT-;DIST.HC--MTR.HC-W.HC-RET-MEA.VF-
2023/02/04 00:00:00;0.00;13.81;-99.00;0.00;25.00;-99.00;0.00;4.00;0.00;-99.00;6.38;0.00;0.00;12.70;0.12;-99.00;6.24;13.32;-99.00;6.20;-99.00;26.06;-99.00;0.00;-99.00;0.00;14.40;-99.00;0.50;0.00;56.16;0.00;56.12;238.80;4.00;0.00;-99.00;29.92;3.90;-0.90
2023/02/04 00:05:00;0.00;13.80;-99.00;0.00;25.00;-99.00;0.00;4.00;0.00;-99.00;6.39;0.00;0.00;12.70;0.12;-99.00;6.34;13.33;-99.00;;-99.00;;-99.00;0.00;-99.00;0.00;14.39;-99.00;0.50;0.00;56.18;0.00;56.12;238.80;4.00;0.00;-99.00;29.92;3.60;-0.60
2023/02/04 00:10:00;0.00;13.80;-99.00;0.00;25.00;-99.00;0.00;0.00;0.00;-99.00;6.39;0.00;0.00;12.70;0.12;-99.00;6.40;13.31;-99.00;6.30;-99.00;;-99.00;0.00;-99.00;0.00;14.37;-99.00;0.50;0.00;56.19;0.00;56.13;239.00;0.00;0.00;-99.00;29.89;3.80;-0.60
2023/02/04 00:15:00;0.00;13.81;-99.00;0.00;25.00;-99.00;0.00;0.00;0.00;-99.00;6.39;0.00;0.00;12.70;0.12;-99.00;6.46;13.32;-99.00;;-99.00;;-99.00;0.00;-99.00;0.00;14.35;-99.00;0.52;0.00;56.19;0.00;56.13;238.90;0.00;0.00;-99.00;29.89;3.80;-0.90
2023/02/04 00:20:00;0.00;13.81;-99.00;0.00;25.00;-99.00;0.00;0.00;0.00;-99.00;6.38;0.00;0.00;12.70;0.12;-99.00;6.50;13.33;-99.00;6.30;-99.00;;-99.00;0.00;-99.00;0.00;14.32;-99.00;0.50;0.00;56.19;0.00;56.12;238.70;0.00;0.00;-99.00;29.86;3.60;-0.90
2023/02/04 00:25:00;0.00;13.80;-99.00;0.00;25.00;-99.00;0.00;0.00;0.00;-99.00;6.37;0.00;0.00;12.70;0.12;-99.00;6.59;13.32;-99.00;;-99.00;;-99.00;0.00;-99.00;0.00;14.29;-99.00;0.53;0.00;56.20;0.00;56.11;238.90;0.00;0.00;-99.00;29.84;3.80;-0.80
2023/02/04 00:30:00;0.00;13.80;-99.00;0.00;25.00;-99.00;0.00;0.00;0.00;-99.00;6.36;0.00;0.00;12.70;0.12;-99.00;6.61;13.32;-99.00;6.20;-99.00;;-99.00;0.00;-99.00;0.00;14.24;-99.00;0.52;0.00;56.21;0.00;56.13;239.00;0.00;0.00;-99.00;29.82;3.60;-0.70
2023/02/04 00:35:00;0.00;13.80;-99.00;0.00;25.00;-99.00;0.00;0.00;0.00;-99.00;6.36;0.00;0.00;12.70;0.12;-99.00;6.70;13.30;-99.00;;-99.00;;-99.00;0.00;-99.00;0.00;14.21;-99.00;0.50;0.00;56.22;0.00;56.12;238.80;0.00;0.00;-99.00;29.80;3.70;-1.30
2023/02/04 00:40:00;0.00;13.80;20.51;0.00;25.00;-99.00;0.00;0.00;0.00;15.35;6.35;0.00;0.00;12.70;0.12;-99.00;6.70;13.30;-99.00;6.20;-99.00;;-99.00;0.00;-99.00;0.00;14.18;-99.00;0.50;0.00;56.20;0.00;56.12;238.90;0.00;0.00;-99.00;29.80;3.80;122.40
