;PV_Pel_expVAR;T_4_expVAR;HM4_SUP_expVAR;Pyra2_expVAR;Hot_Tank_expVAR;HM1_SUP_expVAR;HP_Pel_expVAR;HM1_VF_expVAR;P_PV_expVAR;HM4_RET_expVAR;U_PV_expVAR;Pel_expVAR;Inv_Cur_In_expVAR;Cold_Tank_expVAR;P_Inv_out_expVAR;HM1_RET_expVAR;T_amb_expVAR;T_1_expVAR;WP_senke_ein_expVAR;wetterstation_expVAR;WP_Quelle_aus_expVAR;T_2_expVAR;HM10_SUP_expVAR;Pyra1_expVAR;WP_Quelle_ein_expVAR;SCC_Cur_in_expVAR;Zone_expVAR;HM10_RET_expVAR;Inv_Cur_Out_expVAR;COP_expVAR;SCC_vol_out_expVAR;PV_Cur_expVAR;U_bat_expVAR;U_grid_expVAR;HM10_VF_expVAR;P_Inv_loading_expVAR;WP_senke_aus_expVAR;T_3_expVAR;Inv_Volt_In_expVAR;HM4_VF_expVAR
Displayname;GEN.EL-PV----CALC.POW.EL-;Kalt_oben------;DIST.HC--MTR.HC-W.HC-SUP-MEA.T-;ODC----HOR-MEA.GLIR-CALC;STO.H---W.H-BOT-MEA.T-;GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-;GEN.HC-HP--R410a--CALC.POW.H-;GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-;STO.EL-SCC----CALC.POW.EL-;DIST.HC--MTR.HC-W.HC-RET-MEA.T-;GEN.EL-PV----MEA.VOLT-;GEN.HC-HP.COMP--R410a--CALC.POW.EL-;STO.EL-INV---IN-MEA.CUR-;STO.C---W.C-BOT-MEA.T-;STO.EL-INV---OUT-MEA.POW.EL-;GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-;ODC---AIR.OD--CALC.T-;Kalt_unten------;GEN.H-HP--W.H-RET-MEA.T-;WS.DWD-----MEA.T-;GEN.C-HP--BRINE-RET-CALC.T-;Warm_unten------;GEN.H--MTR.H-W.H-RET-MEA.T-;ODC----VER-MEA.GLIR-CALC;GEN.C-HP--BRINE-SUP-CALC.T-;STO.EL-SCC---IN-MEA.CUR-;ZONE---AIR.ID--MEA.T-;GEN.H--MTR.H-W.H-SUP-CALC.T-;STO.EL-INV---OUT-MEA.CUR-;GEN.HC-HP--R410a--CALC.COP.virt-;STO.EL-SCC----MEA.VOLT-;GEN.EL-PV----MEA.CUR-;STO.EL-INV----MEA.VOLT-;STO.EL-INV---OUT-MEA.VOLT-;GEN.H--MTR.H-W.H-RET-MEA.VF-;STO.EL-INV---IN-MEA.POW.EL-;GEN.H-HP--W.H-SUP-MEA.T-;Warm_oben------;STO.EL-INV---IN-MEA.VOLT-;DIST.HC--MTR.HC-W.HC-RET-MEA.VF-
2021/10/16 00:00:00;0.00;13.18;28.50;0.00;24.63;-99.00;0.00;0.00;0.00;26.08;4.85;0.00;0.00;11.50;0.14;-99.00;8.74;11.97;-99.00;6.30;-99.00;25.53;25.43;0.00;-99.00;0.00;19.64;24.27;0.60;0.00;56.44;0.00;56.38;237.80;24.10;0.00;-99.00;28.91;4.00;184.30
2021/10/16 00:05:00;0.00;13.22;-99.00;0.00;24.70;-99.00;0.00;0.00;0.00;-99.00;4.84;0.00;0.00;11.50;0.12;-99.00;8.80;11.99;-99.00;;-99.00;;-99.00;0.00;-99.00;0.00;19.67;-99.00;0.53;0.00;56.44;0.00;56.38;237.90;6.10;0.00;-99.00;28.80;4.00;-0.90
2021/10/16 00:10:00;0.00;13.23;28.12;0.00;24.70;-99.00;0.00;0.00;0.00;25.00;4.84;0.00;0.00;11.50;0.16;-99.00;8.80;12.00;-99.00;6.20;-99.00;;24.68;0.00;-99.00;0.00;19.71;23.66;0.66;0.00;56.44;0.00;56.38;238.00;23.70;0.00;-99.00;28.71;4.00;359.30
2021/10/16 00:15:00;0.00;13.28;28.02;0.00;24.70;-99.00;0.00;0.00;0.00;25.84;4.83;0.00;0.00;11.50;0.13;-99.00;8.87;11.98;-99.00;;-99.00;;25.14;0.00;-99.00;0.00;19.74;24.00;0.55;0.00;56.46;0.00;56.38;238.00;22.40;0.00;-99.00;28.39;4.00;132.50
2021/10/16 00:20:00;0.00;13.22;-99.00;56.20;24.70;-99.00;0.00;0.00;0.00;-99.00;4.83;0.00;0.00;11.50;0.13;-99.00;8.90;12.01;-99.00;6.20;-99.00;;-99.00;0.00;-99.00;0.00;19.75;-99.00;0.55;0.00;56.46;0.00;56.38;237.80;5.30;0.00;-99.00;28.14;4.00;-0.50
2021/10/16 00:25:00;0.00;13.26;27.62;0.00;24.70;-99.00;0.00;0.00;0.00;24.71;4.79;0.00;0.00;11.50;0.16;-99.00;8.90;12.00;-99.00;;-99.00;;24.37;0.00;-99.00;0.00;19.77;23.49;0.66;0.00;56.44;0.00;56.38;237.90;23.10;0.00;-99.00;27.85;4.00;372.00
2021/10/16 00:30:00;0.00;13.25;27.13;0.00;24.63;-99.00;0.00;0.00;0.00;25.51;4.78;0.00;0.00;11.50;0.13;-99.00;8.90;12.03;-99.00;6.30;-99.00;;24.82;0.00;-99.00;0.00;19.78;23.78;0.56;0.00;56.46;0.00;56.38;237.90;20.50;0.00;-99.00;26.89;4.00;144.10
2021/10/16 00:35:00;0.00;13.29;-99.00;53.20;24.60;-99.00;0.00;0.00;0.00;-99.00;4.80;0.00;0.00;11.59;0.13;-99.00;8.90;12.01;-99.00;;-99.00;;-99.00;0.00;-99.00;0.00;19.78;-99.00;0.59;0.00;56.46;0.00;56.39;238.00;4.70;0.00;-99.00;26.56;4.00;-0.50
2021/10/16 00:40:00;0.00;13.27;26.53;0.00;24.58;-99.00;0.00;0.00;0.00;24.31;4.82;0.00;0.00;11.60;0.16;-99.00;8.90;12.00;-99.00;6.20;-99.00;;24.10;0.00;-99.00;0.00;19.78;23.35;0.67;0.00;56.44;0.00;56.38;238.00;25.80;0.00;-99.00;26.43;4.00;378.80
2021/10/16 00:45:00;0.00;13.24;25.98;0.00;24.46;-99.00;0.00;0.00;0.00;24.83;4.83;0.00;0.00;11.60;0.13;-99.00;8.90;12.05;-99.00;;-99.00;;24.25;0.00;-99.00;0.00;19.77;23.57;0.61;0.00;56.47;0.00;56.38;237.80;22.10;0.00;-99.00;26.12;4.00;130.90
2021/10/16 00:50:00;0.00;13.29;-99.00;0.00;24.40;-99.00;0.00;0.00;0.00;-99.00;4.79;0.00;0.00;11.60;0.14;-99.00;8.90;12.06;-99.00;6.00;-99.00;;-99.00;0.00;-99.00;0.00;19.76;-99.00;0.56;0.00;56.46;0.00;56.38;237.90;4.90;0.00;-99.00;26.00;4.00;-0.60
2021/10/16 00:55:00;0.00;13.30;25.66;0.00;24.36;-99.00;0.00;0.00;0.00;23.72;4.72;0.00;0.00;11.60;0.16;-99.00;8.90;12.04;-99.00;;-99.00;;23.60;0.00;-99.00;0.00;19.75;23.16;0.66;0.00;56.44;0.00;56.38;238.00;25.60;0.00;-99.00;25.99;4.00;371.30
