;PV_Pel_expVAR;T_4_expVAR;HM4_SUP_expVAR;Pyra2_expVAR;Hot_Tank_expVAR;HM1_SUP_expVAR;HP_Pel_expVAR;HM1_VF_expVAR;P_PV_expVAR;HM4_RET_expVAR;U_PV_expVAR;Pel_expVAR;Inv_Cur_In_expVAR;Cold_Tank_expVAR;P_Inv_out_expVAR;HM1_RET_expVAR;T_amb_expVAR;T_1_expVAR;WP_senke_ein_expVAR;wetterstation_expVAR;WP_Quelle_aus_expVAR;T_2_expVAR;HM10_SUP_expVAR;Pyra1_expVAR;WP_Quelle_ein_expVAR;SCC_Cur_in_expVAR;Zone_expVAR;HM10_RET_expVAR;Inv_Cur_Out_expVAR;COP_expVAR;SCC_vol_out_expVAR;PV_Cur_expVAR;U_bat_expVAR;U_grid_expVAR;HM10_VF_expVAR;P_Inv_loading_expVAR;WP_senke_aus_expVAR;T_3_expVAR;Inv_Volt_In_expVAR;HM4_VF_expVAR
Displayname;GEN.EL-PV----CALC.POW.EL-;Kalt_oben------;DIST.HC--MTR.HC-W.HC-SUP-MEA.T-;ODC----HOR-MEA.GLIR-CALC;STO.H---W.H-BOT-MEA.T-;GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-;GEN.HC-HP--R410a--CALC.POW.H-;GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-;STO.EL-SCC----CALC.POW.EL-;DIST.HC--MTR.HC-W.HC-RET-MEA.T-;GEN.EL-PV----MEA.VOLT-;GEN.HC-HP.COMP--R410a--CALC.POW.EL-;STO.EL-INV---IN-MEA.CUR-;STO.C---W.C-BOT-MEA.T-;STO.EL-INV---OUT-MEA.POW.EL-;GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-;ODC---AIR.OD--CALC.T-;Kalt_unten------;GEN.H-HP--W.H-RET-MEA.T-;WS.DWD-----MEA.T-;GEN.C-HP--BRINE-RET-CALC.T-;Warm_unten------;GEN.H--MTR.H-W.H-RET-MEA.T-;ODC----VER-MEA.GLIR-CALC;GEN.C-HP--BRINE-SUP-CALC.T-;STO.EL-SCC---IN-MEA.CUR-;ZONE---AIR.ID--MEA.T-;GEN.H--MTR.H-W.H-SUP-CALC.T-;STO.EL-INV---OUT-MEA.CUR-;GEN.HC-HP--R410a--CALC.COP.virt-;STO.EL-SCC----MEA.VOLT-;GEN.EL-PV----MEA.CUR-;STO.EL-INV----MEA.VOLT-;STO.EL-INV---OUT-MEA.VOLT-;GEN.H--MTR.H-W.H-RET-MEA.VF-;STO.EL-INV---IN-MEA.POW.EL-;GEN.H-HP--W.H-SUP-MEA.T-;Warm_oben------;STO.EL-INV---IN-MEA.VOLT-;DIST.HC--MTR.HC-W.HC-RET-MEA.VF-
2022/05/08 00:00:00;0.00;22.88;-99.00;0.00;20.20;-99.00;0.00;0.00;0.00;-99.00;4.67;0.00;0.00;21.80;0.12;-99.00;13.90;22.27;-99.00;11.50;-99.00;21.10;-99.00;0.00;-99.00;0.00;24.16;-99.00;0.50;0.00;56.66;0.00;56.64;237.90;0.00;0.00;-99.00;21.67;3.10;-0.90
2022/05/08 00:05:00;0.00;22.85;-99.00;0.00;20.20;-99.00;0.00;0.00;0.00;-99.00;4.67;0.00;0.00;21.78;0.12;-99.00;13.81;22.27;-99.00;;-99.00;;-99.00;0.00;-99.00;0.00;24.07;-99.00;0.52;0.00;56.66;0.00;56.64;237.90;0.00;0.00;-99.00;21.66;3.20;-0.60
2022/05/08 00:10:00;0.00;22.87;-99.00;0.00;20.20;-99.00;0.00;0.00;0.00;-99.00;4.67;0.00;0.00;21.70;0.12;-99.00;13.80;22.29;-99.00;11.40;-99.00;;-99.00;0.00;-99.00;0.00;23.96;-99.00;0.50;0.00;56.66;0.00;56.64;238.00;0.00;0.00;-99.00;21.65;3.00;-0.80
2022/05/08 00:15:00;0.00;22.85;-99.00;0.00;20.20;-99.00;0.00;0.00;0.00;-99.00;4.67;0.00;0.00;21.70;0.12;-99.00;13.78;22.28;-99.00;;-99.00;;-99.00;0.00;-99.00;0.00;23.86;-99.00;0.50;0.00;56.66;0.00;56.59;238.00;0.00;0.00;-99.00;21.64;3.10;-0.20
2022/05/08 00:20:00;0.00;22.84;-99.00;0.00;20.20;-99.00;0.00;0.00;0.00;-99.00;4.67;0.00;0.00;21.70;0.12;-99.00;13.70;22.31;-99.00;11.50;-99.00;;-99.00;0.00;-99.00;0.00;23.76;-99.00;0.50;0.00;56.64;0.00;56.56;237.90;0.00;0.00;-99.00;21.64;3.10;-1.10
2022/05/08 00:25:00;0.00;22.85;-99.00;0.00;20.20;-99.00;0.00;0.00;0.00;-99.00;4.67;0.00;0.00;21.70;0.12;-99.00;13.69;22.28;-99.00;;-99.00;;-99.00;0.00;-99.00;0.00;23.66;-99.00;0.50;0.00;56.64;0.00;56.55;237.90;0.00;0.00;-99.00;21.65;3.00;-0.70
2022/05/08 00:30:00;0.00;22.84;-99.00;0.00;20.20;-99.00;0.00;0.00;0.00;-99.00;4.66;0.00;0.00;21.70;0.12;-99.00;13.60;22.27;-99.00;11.30;-99.00;;-99.00;0.00;-99.00;0.00;23.56;-99.00;0.52;0.00;56.65;0.00;56.55;238.10;0.00;0.00;-99.00;21.63;3.00;-0.60
2022/05/08 00:35:00;0.00;22.84;-99.00;0.00;20.20;-99.00;0.00;0.00;0.00;-99.00;4.66;0.00;0.00;21.70;0.12;-99.00;13.60;22.25;-99.00;;-99.00;;-99.00;0.00;-99.00;0.00;23.48;-99.00;0.52;0.00;56.63;0.00;56.55;237.80;0.00;0.00;-99.00;21.68;3.00;-1.10
2022/05/08 00:40:00;0.00;22.89;-99.00;0.00;20.20;-99.00;0.00;0.00;0.00;-99.00;4.66;0.00;0.00;21.70;0.12;-99.00;13.52;22.24;-99.00;11.20;-99.00;;-99.00;0.00;-99.00;0.00;23.37;-99.00;0.50;0.00;56.62;0.00;56.55;238.40;0.00;0.00;-99.00;21.65;3.00;-0.80
2022/05/08 00:45:00;0.00;22.88;-99.00;0.00;20.20;-99.00;0.00;0.00;0.00;-99.00;4.65;0.00;0.00;21.70;0.12;-99.00;13.44;22.29;-99.00;;-99.00;;-99.00;0.00;-99.00;0.00;23.27;-99.00;0.50;0.00;56.62;0.00;56.56;238.00;0.00;0.00;-99.00;21.61;3.00;-1.00
2022/05/08 00:50:00;0.00;22.82;-99.00;0.00;20.20;-99.00;0.00;0.00;0.00;-99.00;4.66;0.00;0.00;21.70;0.12;-99.00;13.40;22.27;-99.00;10.90;-99.00;;-99.00;0.00;-99.00;0.00;23.18;-99.00;0.50;0.00;56.62;0.00;56.55;237.90;0.00;0.00;-99.00;21.63;3.00;-0.80
2022/05/08 00:55:00;0.00;22.86;-99.00;0.00;20.20;-99.00;0.00;0.00;0.00;-99.00;4.66;0.00;0.00;21.70;0.12;-99.00;13.40;22.22;-99.00;;-99.00;;-99.00;0.00;-99.00;0.00;23.09;-99.00;0.50;0.00;56.62;0.00;56.55;238.00;0.00;0.00;-99.00;21.64;3.00;-0.33
2022/05/08 01:00:00;0.00;22.86;-99.00;0.00;20.20;-99.00;0.00;0.00;0.00;-99.00;4.66;0.00;0.00;21.70;0.12;-99.00;13.40;22.23;-99.00;10.60;-99.00;21.09;-99.00;0.00;-99.00;0.00;22.96;-99.00;0.50;0.00;56.62;0.00;56.55;238.00;0.00;0.00;-99.00;21.66;3.14;-0.57
2022/05/08 01:05:00;0.00;22.82;-99.00;0.00;20.20;-99.00;0.00;0.00;0.00;-99.00;4.66;0.00;0.00;21.70;0.12;-99.00;13.40;22.27;-99.00;;-99.00;;-99.00;0.00;-99.00;0.00;22.89;-99.00;0.50;0.00;56.62;0.00;56.55;238.30;0.00;0.00;-99.00;21.65;3.00;-0.80
2022/05/08 01:10:00;0.00;22.84;-99.00;0.00;20.20;-99.00;0.00;0.00;0.00;-99.00;4.65;0.00;0.00;21.70;0.12;-99.00;13.37;22.23;-99.00;10.80;-99.00;;-99.00;0.00;-99.00;0.00;22.81;-99.00;0.52;0.00;56.62;0.00;56.56;238.10;0.00;0.00;-99.00;21.65;3.00;-0.60
2022/05/08 01:15:00;0.00;22.84;-99.00;0.00;20.20;-99.00;0.00;0.00;0.00;-99.00;4.65;0.00;0.00;21.70;0.12;-99.00;13.24;22.26;-99.00;;-99.00;;-99.00;0.00;-99.00;0.00;22.71;-99.00;0.50;0.00;56.62;0.00;56.55;238.10;0.00;0.00;-99.00;21.62;3.00;-0.80
2022/05/08 01:20:00;0.00;22.85;-99.00;0.00;20.20;-99.00;0.00;0.00;0.00;-99.00;4.65;0.00;0.00;21.70;0.12;-99.00;13.11;22.25;-99.00;10.40;-99.00;;-99.00;0.00;-99.00;0.00;22.63;-99.00;0.50;0.00;56.62;0.00;56.56;238.20;0.00;0.00;-99.00;21.62;3.00;-0.70
2022/05/08 01:25:00;0.00;22.83;-99.00;0.00;20.20;-99.00;0.00;0.00;0.00;-99.00;4.65;0.00;0.00;21.70;0.12;-99.00;12.98;22.26;-99.00;;-99.00;;-99.00;0.00;-99.00;0.00;22.54;-99.00;0.50;0.00;56.62;0.00;56.55;238.10;0.00;0.00;-99.00;21.63;3.00;-0.90
2022/05/08 01:30:00;0.00;22.84;-99.00;0.00;20.12;-99.00;0.00;0.00;0.00;-99.00;4.65;0.00;0.00;21.70;0.12;-99.00;12.90;22.26;-99.00;10.10;-99.00;;-99.00;0.00;-99.00;0.00;22.45;-99.00;0.50;0.00;56.62;0.00;56.55;238.00;0.00;0.00;-99.00;21.60;3.00;-0.80
2022/05/08 01:35:00;0.00;22.78;-99.00;0.00;20.10;-99.00;0.00;0.00;0.00;-99.00;4.65;0.00;0.00;21.70;0.12;-99.00;12.87;22.24;-99.00;;-99.00;;-99.00;0.00;-99.00;0.00;22.38;-99.00;0.50;0.00;56.62;0.00;56.55;238.10;0.00;0.00;-99.00;21.62;3.00;-0.80
2022/05/08 01:40:00;0.00;22.86;-99.00;0.00;20.10;-99.00;0.00;0.00;0.00;-99.00;4.64;0.00;0.00;21.70;0.12;-99.00;12.80;22.24;-99.00;9.90;-99.00;;-99.00;0.00;-99.00;0.00;22.28;-99.00;0.50;0.00;56.62;0.00;56.55;237.90;0.00;0.00;-99.00;21.61;3.00;-0.70
2022/05/08 01:45:00;0.00;22.81;-99.00;0.00;20.10;-99.00;0.00;0.00;0.00;-99.00;4.64;0.00;0.00;21.70;0.12;-99.00;12.73;22.25;-99.00;;-99.00;;-99.00;0.00;-99.00;0.00;22.20;-99.00;0.50;0.00;56.62;0.00;56.55;237.90;0.00;0.00;-99.00;21.63;3.00;-0.70
2022/05/08 01:50:00;0.00;22.83;-99.00;0.00;20.10;-99.00;0.00;0.00;0.00;-99.00;4.63;0.00;0.00;21.70;0.12;-99.00;12.64;22.21;-99.00;10.00;-99.00;;-99.00;0.00;-99.00;0.00;22.12;-99.00;0.50;0.00;56.62;0.00;56.56;238.00;0.00;0.00;-99.00;21.65;3.00;-0.70
2022/05/08 01:55:00;0.00;22.87;-99.00;0.00;20.10;-99.00;0.00;0.00;0.00;-99.00;4.62;0.00;0.00;21.70;0.12;-99.00;12.53;22.21;-99.00;;-99.00;;-99.00;0.00;-99.00;0.00;22.03;-99.00;0.50;0.00;56.62;0.00;56.56;238.10;0.00;0.00;-99.00;21.62;3.00;-0.70
